Gene,Mean Difference in -log(BH)
AAK1,-0.5917718426913918
ABCB1,-0.1694539813468086
ABCG2,-0.11253198527293111
ABL1,-0.1125481496176217
ACAD9,-0.999252666038501
ACE,-0.8291411514213198
ACKR3,-0.04529631776685497
ADA,0.0479445569449783
ADM,-0.5520202110429033
ADORA1,-0.6337979677861898
ADORA2A,-0.058684563173093444
ADORA2B,-0.0805647742581761
ADORA3,-0.6337979677861898
ADRA1D,-0.4988853033481366
ADRA2A,-0.0561905447163447
ADRA2B,-0.6566831631869281
ADRB1,-0.6882444479886368
ADRB2,-0.5470591675886739
ADRB3,-0.6149052734445155
AGK,-0.9458878868462754
AGT,-0.1539746883242647
AGTR1,-0.8842259461880371
AGTR2,-0.5338590209781922
AHSG,-0.7734495813219016
AKT1,-0.8638735130654851
ALAS1,-0.3833793740107314
ALB,-0.42680441149268755
ANGPT1,-0.5698415770355338
ANXA1,-0.02953895062548382
AP1M1,-0.5304319047344669
APOA1,-0.10166753186227523
APOA2,-0.36075953092261626
APOA4,-0.36075953092261626
APOB,-0.45395514319606534
APOC1,-0.3648736212781913
APOC2,-0.19662596511370722
APOC3,-0.36075953092261626
APOE,-0.4830806976400506
APP,-0.11853224477830969
ARHGEF7,0.3447215513531354
ARRB2,-0.7264757988413955
ARTN,-0.4911643324698271
ATM,-0.3020424989764708
AVP,-0.6000092776167718
AVPR1A,-0.9578257005816047
B2M,0.3404289657703175
BAAT,-0.3833793740107314
BBC3,-0.3749620076542267
BCR,0.19808593932041266
BDKRB1,-0.505772731217708
BDKRB2,-0.530102017223566
BECN1,-0.5816386577667121
BIN1,-0.7529902115837217
BIRC3,0.6458892830115133
BRAF,-0.5751232147229022
BTK,0.3404289657703175
C3,-0.21736595006463438
C6,-0.7074899247617396
CALCA,-0.10135716104854264
CALCR,-0.7062071514303319
CALM3,-0.4911643324698271
CAMTA1,-0.3433359475365328
CARD11,-0.4929166784717722
CASR,-0.5559626856690597
CAV1,-0.3953737532807275
CBL,-0.32830346208198813
CCK,-0.13940542947386803
CCL16,-0.6850607278922985
CCL19,0.006468348007572053
CCL20,0.006468348007572053
CCL5,-0.118900490135029
CCR1,-0.5726663731636923
CCR2,-0.5030197588893243
CCR3,-0.6337979677861898
CCR5,-0.14556065382740427
CCR7,-0.24146334109559306
CD14,0.7094353702378265
CD19,0.3736761682956349
CD274,0.3447215513531354
CD28,-0.6175553241380136
CD36,-0.4713167667672469
CD3D,-0.24219285465193888
CDC42,-0.999252666038501
CDCP1,-0.593987412515519
CFB,-0.40922443505647127
CFH,-0.7092774570476357
CFTR,-0.2083824715407445
CHEK2,-0.5763823945868634
CHRM1,-0.7575735137416671
CHRM2,-0.7459149988675619
CHRM3,-0.7557943475878404
CHRNA4,-0.5689768383056784
CNR1,-0.6488435788039116
CNR2,-0.6786553469724086
COMT,-0.8698317743030746
CRH,-0.10135716104854264
CRK,0.001316472220301207
CSF2,-0.3592827583494904
CSF3R,0.2143192012936188
CST3,-0.7734495813219016
CTSL,-0.3792063064673046
CXCL1,-0.10875095674771976
CXCL10,-0.10030868011602996
CXCL12,-0.48627221492770606
CXCL13,0.006468348007572053
CXCL2,-0.21681209763334905
CXCL5,0.006468348007572053
CXCL6,-0.8421229922359537
CXCL8,-0.37082942979602435
CXCL9,0.006468348007572053
CXCR1,-0.6786553469724086
CXCR2,-0.6786553469724086
CXCR4,-0.6664584916251053
CXCR5,-0.6337979677861898
CYP11B2,-0.8376359906638751
CYP17A1,-0.8849100520338276
CYP1A1,-0.29009681602701853
CYP1A2,-0.7573791466624545
CYP1B1,-0.5816386577667121
CYP2B6,-1.0544657966059647
CYP2C19,-0.43971020018110174
CYP2C8,-0.1631570137283024
CYP2C9,-0.34956867173590417
CYP2D6,-0.3585881463121872
CYP2E1,-0.32799244060779525
CYP3A4,-0.5046983013970427
CYP3A5,-0.6392332600455589
CYP4A11,-0.93218411340378
CYSLTR1,-0.3146805070883325
DAB2,-0.7750300753246618
DCLRE1C,-0.1653136832911652
DLD,-0.3833793740107314
DLG4,-0.4911643324698271
DNAJC6,-0.7529902115837217
DRD1,-0.6379115749198319
DRD2,-0.2089667088802898
DRD3,-0.44821042757564517
DRD4,-0.5974019599710729
EDN1,-0.417148214119351
EDN2,-0.9054183674787062
EDN3,-0.281804682044044
EDNRA,-0.7387597135332006
EDNRB,-0.7004360113461173
EFNA5,0.024039159259095284
EGF,-0.34407813360402606
EGFR,-0.32291322067330014
ELANE,0.2143192012936188
ERBB2,-0.600880662648489
ERBB4,-0.4880258683267901
ESR1,-0.3322229299881893
ESR2,-0.3322229299881893
F2,-0.5406093095689567
F2R,-0.5595621098708229
F2RL1,-0.5862120036740436
F2RL3,-0.7910639421333645
F3,-0.3154623143307671
F5,-1.0575093492808156
F7,-0.3949210106835636
FABP2,-0.4569307938774507
FABP5,-0.0295847671461526
FCGR2B,0.2094934726432926
FCGR2C,-1.0480764095345505
FCGR3A,-1.0480764095345505
FCGR3B,0.2094934726432926
FGA,-0.5143625185623655
FGB,-0.6934021502817477
FGF1,-0.4880258683267901
FGF2,-0.4880258683267901
FGF20,-0.4880258683267901
FGF4,-0.03531159156243532
FGF7,0.656957082371072
FGFR1,-0.09946667346558942
FGFR2,-0.0439199279668707
FGFR3,-0.5949110675190274
FGFR4,-0.600880662648489
FGG,-0.8340701715388961
FMO3,-0.529581339634869
FN1,-0.5841040149319826
FPR1,-0.3568412835404082
FSHR,-0.2582169111136173
FYN,-1.0303811815551192
GAK,-0.24219285465193888
GAL,-0.5288397640012822
GALR1,-0.6500032061981434
GAST,-0.12418612210373788
GCG,-0.8389882299706076
GFAP,-0.7641200899972768
GH1,-1.901196468100899
GHR,-0.6737202651481832
GHRH,-0.8291371210649605
GHRL,-0.5224118984762871
GHSR,-0.9121098039599747
GIP,-0.7062071514303319
GJC2,-0.3433359475365328
GNAQ,-0.23980845498122147
GPER1,-0.6786553469724086
GPR17,-0.5964864831697765
GPR65,-0.7575735137416671
GRAP2,0.1176171423151632
GRIN2A,-0.47924671751279213
GRM8,-0.6781533381700571
GRP,-0.09887495503375408
GRPR,-0.3753281295207098
GSN,-0.6804691474661108
GSTP1,-0.7056097508803697
HBEGF,-0.6587282536891639
HGF,-0.1637393341610204
HLA-DPA1,0.3404289657703175
HLA-DPB1,-0.22020805545628175
HLA-DRB1,0.11617415727967781
HLA-E,-0.7851376622656989
HP,-0.5450221870323909
HPSE,-0.6587282536891639
HRAS,-0.5510799091933958
HRG,-1.2714029079889126
HRH1,-0.33336111661418727
HRH3,0.4786825935646952
HTR1A,-0.0680884207528967
HTR1B,-0.6847970771626817
HTR1D,-0.6337979677861898
HTR1E,-0.6614528378432036
HTR1F,-0.7572177964164238
HTR2A,-0.9082422779700838
HTR2C,-0.7196876468310536
HTR6,-0.7204342299577359
IAPP,-0.44844944099314965
ICOS,-0.10929535321828561
IFNA2,-1.4011841063689765
IFNAR1,-0.901171744637054
IFNG,-0.8667852197870562
IGF2R,-0.5183530304566311
IGHG3,-1.0480764095345505
IL10RA,-1.901196468100899
IL1B,-0.482013522098871
IL2,-0.1281012873379565
IL2RA,0.08179378086187507
IL2RB,-0.437120333469231
IL2RG,-1.901196468100899
IL3,-0.4606309550962557
IL4,-0.6430062416269445
IL5,0.07451288665995466
IL5RA,0.07451288665995466
IL6,-1.9788186985822251
IL7,-0.6430062416269445
IL7R,-0.8667852197870562
INPPL1,-0.437120333469231
IRAK1,2.580384974496262
IRAK4,2.580384974496262
IRS1,-0.5096796287445304
ITGA2,-0.6153595279341082
ITGA2B,-0.5794669001784458
ITGA4,-0.0811051990358961
ITGB3,-0.17446629169734293
JAK1,-0.5629755919911499
JAK2,-0.7381524658165896
