Gene,Adverse Event Count,Adverse Event,All Adverse Event Counts,Adverse event mean -log(BH) diff,All Adverse events mean -log(BH) diff
F2R,0.0,Thrombocytopenia,112,0.0,-0.5759962479519208
F2R,48.0,Myocardial Infarction,112,-0.7842037199344579,-0.5759962479519208
F2R,17.0,Tardive Dyskinesia,112,-0.6684410676131853,-0.5759962479519208
F2R,10.0,Sepsis,112,-0.28022542396463285,-0.5759962479519208
F2R,0.0,Pulmonary Edema,112,0.0,-0.5759962479519208
F2R,0.0,Proteinuria,112,0.0,-0.5759962479519208
F2R,0.0,Peripheral Neuropathy,112,0.0,-0.5759962479519208
F2R,0.0,Pancreatitis,112,0.0,-0.5759962479519208
F2R,35.0,Pneumonia,112,-0.3146805070883325,-0.5759962479519208
F2R,0.0,Hyperlipidemia,112,0.0,-0.5759962479519208
F2R,1.0,Hemorrhage,112,-1.140689287068125,-0.5759962479519208
F2R,0.0,Gastric ulcer,112,0.0,-0.5759962479519208
F2R,0.0,Edema,112,0.0,-0.5759962479519208
F2R,0.0,Delirium,112,0.0,-0.5759962479519208
F2R,0.0,Deep Vein Thrombosis,112,0.0,-0.5759962479519208
F2R,1.0,Cerebral Infarction,112,-0.5495417895309078,-0.5759962479519208
BDKRB1,0.0,Pancreatitis,102,0.0,-0.5146918624723881
BDKRB1,0.0,Deep Vein Thrombosis,102,0.0,-0.5146918624723881
BDKRB1,0.0,Delirium,102,0.0,-0.5146918624723881
BDKRB1,16.0,Edema,102,-0.2574546580970115,-0.5146918624723881
BDKRB1,22.0,Gastric ulcer,102,-0.11527447161240204,-0.5146918624723881
BDKRB1,0.0,Hemorrhage,102,0.0,-0.5146918624723881
BDKRB1,0.0,Hyperlipidemia,102,0.0,-0.5146918624723881
BDKRB1,64.0,Myocardial Infarction,102,-0.7163008916743523,-0.5146918624723881
BDKRB1,0.0,Pneumonia,102,0.0,-0.5146918624723881
BDKRB1,0.0,Peripheral Neuropathy,102,0.0,-0.5146918624723881
BDKRB1,0.0,Sepsis,102,0.0,-0.5146918624723881
BDKRB1,0.0,Cerebral Infarction,102,0.0,-0.5146918624723881
BDKRB1,0.0,Thrombocytopenia,102,0.0,-0.5146918624723881
BDKRB1,0.0,Tardive Dyskinesia,102,0.0,-0.5146918624723881
BDKRB1,0.0,Pulmonary Edema,102,0.0,-0.5146918624723881
BDKRB1,0.0,Proteinuria,102,0.0,-0.5146918624723881
APOE,0.0,Deep Vein Thrombosis,99,0.0,-0.4830806976400506
APOE,0.0,Pneumonia,99,0.0,-0.4830806976400506
APOE,5.0,Thrombocytopenia,99,-0.271448769114237,-0.4830806976400506
APOE,12.0,Tardive Dyskinesia,99,-0.6642954438057882,-0.4830806976400506
APOE,7.0,Sepsis,99,-0.3749620076542267,-0.4830806976400506
APOE,0.0,Pulmonary Edema,99,0.0,-0.4830806976400506
APOE,3.0,Proteinuria,99,-0.9269756123133069,-0.4830806976400506
APOE,12.0,Pancreatitis,99,-0.42139988834350034,-0.4830806976400506
APOE,0.0,Peripheral Neuropathy,99,0.0,-0.4830806976400506
APOE,1.0,Cerebral Infarction,99,-0.5495417895309078,-0.4830806976400506
APOE,23.0,Myocardial Infarction,99,-0.7734495813219016,-0.4830806976400506
APOE,0.0,Hemorrhage,99,0.0,-0.4830806976400506
APOE,14.0,Edema,99,-0.3433359475365328,-0.4830806976400506
APOE,8.0,Delirium,99,-0.0874951282957863,-0.4830806976400506
APOE,14.0,Hyperlipidemia,99,-0.2991567066193192,-0.4830806976400506
APOE,0.0,Gastric ulcer,99,0.0,-0.4830806976400506
BDKRB2,0.0,Cerebral Infarction,98,0.0,-0.5473843225189743
BDKRB2,0.0,Peripheral Neuropathy,98,0.0,-0.5473843225189743
BDKRB2,0.0,Tardive Dyskinesia,98,0.0,-0.5473843225189743
BDKRB2,0.0,Thrombocytopenia,98,0.0,-0.5473843225189743
BDKRB2,0.0,Sepsis,98,0.0,-0.5473843225189743
BDKRB2,0.0,Pulmonary Edema,98,0.0,-0.5473843225189743
BDKRB2,0.0,Proteinuria,98,0.0,-0.5473843225189743
BDKRB2,0.0,Pneumonia,98,0.0,-0.5473843225189743
BDKRB2,0.0,Deep Vein Thrombosis,98,0.0,-0.5473843225189743
BDKRB2,12.0,Pancreatitis,98,-0.43869734701900676,-0.5473843225189743
BDKRB2,64.0,Myocardial Infarction,98,-0.7163008916743523,-0.5473843225189743
BDKRB2,0.0,Hyperlipidemia,98,0.0,-0.5473843225189743
BDKRB2,0.0,Hemorrhage,98,0.0,-0.5473843225189743
BDKRB2,22.0,Gastric ulcer,98,-0.11527447161240204,-0.5473843225189743
BDKRB2,0.0,Delirium,98,0.0,-0.5473843225189743
BDKRB2,0.0,Edema,98,0.0,-0.5473843225189743
CNR1,0.0,Proteinuria,90,0.0,-0.654378465766144
CNR1,0.0,Peripheral Neuropathy,90,0.0,-0.654378465766144
CNR1,11.0,Pancreatitis,90,-0.42812792003079864,-0.654378465766144
CNR1,51.0,Myocardial Infarction,90,-0.6821735727909355,-0.654378465766144
CNR1,0.0,Edema,90,0.0,-0.654378465766144
CNR1,0.0,Hemorrhage,90,0.0,-0.654378465766144
CNR1,0.0,Gastric ulcer,90,0.0,-0.654378465766144
CNR1,0.0,Sepsis,90,0.0,-0.654378465766144
CNR1,0.0,Cerebral Infarction,90,0.0,-0.654378465766144
CNR1,0.0,Delirium,90,0.0,-0.654378465766144
CNR1,0.0,Deep Vein Thrombosis,90,0.0,-0.654378465766144
CNR1,0.0,Pulmonary Edema,90,0.0,-0.654378465766144
CNR1,8.0,Hyperlipidemia,90,-0.48388954757419333,-0.654378465766144
CNR1,20.0,Tardive Dyskinesia,90,-0.776134310284146,-0.654378465766144
CNR1,0.0,Thrombocytopenia,90,0.0,-0.654378465766144
CNR1,0.0,Pneumonia,90,0.0,-0.654378465766144
F2RL1,0.0,Gastric ulcer,83,0.0,-0.5862120036740436
F2RL1,0.0,Edema,83,0.0,-0.5862120036740436
F2RL1,0.0,Thrombocytopenia,83,0.0,-0.5862120036740436
F2RL1,0.0,Tardive Dyskinesia,83,0.0,-0.5862120036740436
F2RL1,0.0,Sepsis,83,0.0,-0.5862120036740436
F2RL1,0.0,Pulmonary Edema,83,0.0,-0.5862120036740436
F2RL1,0.0,Proteinuria,83,0.0,-0.5862120036740436
F2RL1,35.0,Pneumonia,83,-0.3146805070883325,-0.5862120036740436
F2RL1,0.0,Peripheral Neuropathy,83,0.0,-0.5862120036740436
F2RL1,0.0,Pancreatitis,83,0.0,-0.5862120036740436
F2RL1,48.0,Myocardial Infarction,83,-0.7842037199344579,-0.5862120036740436
F2RL1,0.0,Hyperlipidemia,83,0.0,-0.5862120036740436
F2RL1,0.0,Hemorrhage,83,0.0,-0.5862120036740436
F2RL1,0.0,Delirium,83,0.0,-0.5862120036740436
F2RL1,0.0,Deep Vein Thrombosis,83,0.0,-0.5862120036740436
F2RL1,0.0,Cerebral Infarction,83,0.0,-0.5862120036740436
CCR1,0.0,Thrombocytopenia,72,0.0,-0.5726663731636923
CCR1,0.0,Sepsis,72,0.0,-0.5726663731636923
CCR1,0.0,Deep Vein Thrombosis,72,0.0,-0.5726663731636923
CCR1,0.0,Hemorrhage,72,0.0,-0.5726663731636923
CCR1,0.0,Hyperlipidemia,72,0.0,-0.5726663731636923
CCR1,51.0,Myocardial Infarction,72,-0.6821735727909355,-0.5726663731636923
CCR1,11.0,Pancreatitis,72,-0.42812792003079864,-0.5726663731636923
CCR1,0.0,Peripheral Neuropathy,72,0.0,-0.5726663731636923
CCR1,0.0,Pneumonia,72,0.0,-0.5726663731636923
CCR1,0.0,Proteinuria,72,0.0,-0.5726663731636923
CCR1,0.0,Pulmonary Edema,72,0.0,-0.5726663731636923
CCR1,0.0,Gastric ulcer,72,0.0,-0.5726663731636923
CCR1,0.0,Cerebral Infarction,72,0.0,-0.5726663731636923
CCR1,0.0,Tardive Dyskinesia,72,0.0,-0.5726663731636923
CCR1,10.0,Edema,72,-0.17317195351093523,-0.5726663731636923
CCR1,0.0,Delirium,72,0.0,-0.5726663731636923
KNG1,0.0,Thrombocytopenia,62,0.0,-0.06612160862994912
KNG1,1.0,Myocardial Infarction,62,-0.3590972515014865,-0.06612160862994912
KNG1,0.0,Pulmonary Edema,62,0.0,-0.06612160862994912
KNG1,1.0,Sepsis,62,-1.0226634175440594,-0.06612160862994912
KNG1,0.0,Proteinuria,62,0.0,-0.06612160862994912
KNG1,0.0,Tardive Dyskinesia,62,0.0,-0.06612160862994912
KNG1,0.0,Peripheral Neuropathy,62,0.0,-0.06612160862994912
KNG1,0.0,Pancreatitis,62,0.0,-0.06612160862994912
