,Count
F2R,112
BDKRB1,102
APOE,99
BDKRB2,98
CNR1,90
F2RL1,83
CCR1,72
KNG1,62
NPW,60
EDNRB,60
PTGDR2,57
LPAR2,56
LPAR1,56
EDNRA,56
HP,56
P2RY11,52
GRM8,49
P2RY12,49
LTB4R,46
SERPING1,44
SLC25A13,40
OPRD1,39
ADRB3,37
CDCP1,37
PTAFR,35
CYSLTR1,35
ADRA2B,35
CYP3A5,34
TAC1,34
FN1,32
GSN,30
F7,29
PTGER2,28
APP,27
CCL5,27
EGFR,27
C3,26
AGT,26
ADRB1,26
ADRA2A,25
GCG,25
GFAP,24
LDLR,24
CYP2D6,24
KCNMA1,23
AHSG,23
CST3,23
S1PR3,22
SCN5A,22
FSHR,21
CHRM2,21
PTPN11,20
MTNR1B,20
MTNR1A,20
CFH,19
TF,19
HTR1F,19
OXTR,18
NPHS1,18
IGF2R,18
HTR6,17
APOC1,17
CYP3A4,17
CYP2C8,16
PTH1R,16
NLRC4,16
TP53,15
TRIP10,15
FGB,14
ADRA1D,14
GNAQ,14
GJC2,14
CYP1A2,14
ITGA2,14
CAMTA1,14
P2RY2,14
CYP2E1,13
CSF2,12
P2RY1,11
CBL,10
FGA,10
TFRC,10
PTGER3,10
PLAU,10
POMC,9
STAT1,9
CFB,9
OCRL,9
SCARB2,9
EDN3,9
NPY,8
SOS1,8
AGTR2,8
GAL,8
TACR1,8
SLC6A4,7
ADRB2,7
BBC3,7
ITGA2B,7
CYP2C9,7
ADM,7
CYP1A1,6
CAV1,6
MYLK,6
TNFRSF1A,6
DRD3,6
UGT1A1,6
IL3,6
BRAF,6
FGG,6
EDN1,6
MPO,6
PDGFB,5
PDGFRB,5
ICOS,5
SRC,5
JAK1,5
NCOA3,5
CTSL,5
AKT1,5
BCR,5
ITGB3,5
CXCL2,5
HLA-DRB1,5
PDE4B,5
ATM,5
CYP2C19,5
CXCL6,5
JAK2,5
HRAS,4
GAST,4
GHRL,4
F2,4
SAA1,4
CD19,4
CXCL1,4
PTPN22,4
CXCL8,4
FYN,4
GRPR,4
PECAM1,4
HRG,4
AVPR1A,4
APOB,4
LRP2,4
GHRH,3
RLN2,3
IL4,3
IRS1,3
ABCB1,3
MMP9,3
LDLRAP1,3
REN,3
UTS2R,3
NR3C1,3
GHSR,3
LTA,3
VAMP8,3
NRAS,3
ADORA2B,3
VIP,3
BTK,3
DAB2,3
PSPN,3
PDGFRA,3
IL7,3
RAMP1,3
ANGPT1,3
LIG4,3
PIK3R1,3
PDGFA,3
IL5RA,3
FGFR1,3
IL5,3
SELP,2
CALCA,2
CYP17A1,2
ABCG2,2
GRIN2A,2
UTS2,2
CRH,2
TTN,2
MYD88,2
TEK,2
ROCK1,2
EDN2,2
CCL19,2
PIK3CB,2
CYP2B6,2
TBXA2R,2
CCL20,2
CXCL12,2
CXCL13,2
CXCL5,2
CXCL9,2
PF4,2
FABP2,2
IAPP,2
GRP,2
HTR2A,2
CCK,2
OXT,2
HGF,2
FCGR3B,2
NOD2,2
FGFR3,2
EGF,2
SOCS3,2
IL7R,2
IFNG,2
NTS,2
MMP1,2
MAP2K1,2
IL2RA,2
IFNA2,2
RHOA,2
FMO3,2
F5,2
SYT1,1
IL10RA,1
IL2RG,1
IL2RB,1
PIK3CD,1
SOCS1,1
PTGDR,1
WNT5A,1
CXCR4,1
VIM,1
AAK1,1
GHR,1
F2RL3,1
FCGR3A,1
CD274,1
ARHGEF7,1
FABP5,1
FCGR2C,1
STAT2,1
TYK2,1
PLA2G1B,1
MAOA,1
MAOB,1
CARD11,1
NFKB2,1
NFKBIA,1
NOD1,1
IFNAR1,1
RAF1,1
ALB,1
KRT16,1
SERPINB2,1
SERPINE1,1
SLC10A1,1
ADA,1
CXCL10,1
ITGA4,1
INPPL1,1
RIT1,1
HLA-E,1
HLA-DPB1,1
NDUFAF2,1
NDUFAF1,1
CDC42,1
ACAD9,1
TIMP2,1
MMP14,1
LTA4H,1
ACE,1
DCLRE1C,1
AGK,1
XRCC2,1
RAD51C,1
PALB2,1
NHEJ1,1
ARTN,1
ABL1,1
CALM3,1
DLG4,1
FPR1,1
CCR5,1
ERBB2,1
RYR1,1
RFC2,1
CHEK2,1
CD28,1
FGFR4,1
SHANK3,1
PIK3CA,1
NEFL,1
NDUFAF3,1
NDUFAF4,1
NDUFAF5,1
SST,1
KCNQ2,1
CYP11B2,1
IL2,1
PLAT,1
HPSE,1
F3,1
DLD,1
BAAT,1
ALAS1,1
ELANE,1
ESR2,1
ESR1,1
KRAS,1
PNOC,1
NDUFS1,1
C6,1
CYP4A11,1
ARRB2,1
FGF7,1
PCCA,1
PCCB,1
TMEM126B,1
NDUFV2,1
NDUFV1,1
NDUFS6,1
NDUFS4,1
NDUFS3,1
NDUFS2,1
PTGER1,1
