Gene,Mean Difference in -log(BH)
AAK1,-0.24219285465193888
ABCB1,-0.40459891262973385
ABCG2,0.004274942040026497
ABL1,-0.11195395626341205
ACE,-0.429923099603793
ACKR3,-0.04529631776685497
ADM,-0.5167577975503372
ADORA1,-0.6763497477323818
ADORA2A,-0.058684563173093444
ADORA2B,-0.234765639847985
ADORA3,-0.3459763799078371
ADRA1D,-0.7575735137416671
ADRA2B,-0.7416908515381038
ADRB1,-0.821362100385643
ADRB2,-0.5794256010403706
ADRB3,-0.91164948385837
AGT,-0.326309735490308
AGTR1,-0.7497517706370926
AGTR2,-0.48687929766146393
ALB,-0.4107012861577805
ALOX5,0.11395866523953926
AMY2A,0.5108256237660376
ANGPT1,0.020230890615341224
ANXA1,-0.06012735291403817
AP1M1,-0.5304319047344669
AP2S1,-0.4650372648313587
APOA1,-0.31822241222564784
APOA2,-0.42806428583311695
APOA4,-0.42806428583311695
APOB,-0.6138414008281472
APOC1,-0.35200625252632844
APOC2,-0.21077929912560162
APOC3,-0.42806428583311695
APP,-0.234151457115001
AR,-0.12576450681196746
ARRB2,-0.6248983687539609
ARTN,-0.600880662648489
ATM,-0.5304319047344669
AVP,-0.707045998144635
AVPR1A,-0.7575735137416671
B2M,0.3404289657703175
BCL2,-0.2083824715407445
BCR,-0.15114164178696488
BDKRB1,-0.4620903485779675
BDKRB2,-0.26604360640573005
BECN1,-0.5816386577667121
BIN1,-0.7529902115837217
BIRC3,0.6458892830115133
BRAF,-0.0951226532559132
BRCA1,-0.1653136832911652
BRCA2,-0.1125481496176217
BRIP1,-0.1125481496176217
BTK,0.3447215513531354
C3,-0.3090207234758425
C3AR1,-0.04589523211648188
C5,-0.04589523211648188
C5AR1,-0.04589523211648188
CALCA,-0.23468492749456754
CALCR,-0.7062071514303319
CALR,-1.7549956285381008
CASP1,-0.2537520348278947
CASP3,-0.2537520348278947
CASR,-0.6525524782197704
CCK,-0.23736783099294584
CCL16,-0.6850607278922985
CCL19,-0.04708130624183522
CCL2,-0.06433816494245809
CCL20,-0.04708130624183522
CCL5,-0.36551707301043096
CCR1,-0.04529631776685497
CCR2,-0.3056059506312193
CCR3,-0.3722038432177698
CCR5,-0.4810955907644987
CCR6,-0.04529631776685497
CCR7,-0.43540430627847326
CCR8,-0.04529631776685497
CCR9,-0.04529631776685497
CD14,0.3195214287989412
CD28,-0.6587282536891639
CD36,-0.38004966111099137
CD3D,-0.24219285465193888
CD4,-0.5050498145106512
CD80,-0.9123478666405482
CD86,-0.19519603675202868
CDC42,-0.07322139055834584
CFTR,-0.2083824715407445
CHRM1,-0.7575735137416671
CHRM3,-0.7557943475878404
CHRNA4,-0.5689768383056784
CHUK,0.6458892830115133
CNR1,-0.1507037522029968
CNR2,-0.6369007758154736
COMT,-0.8698317743030746
CREB1,-0.2887825554547358
CRH,-0.11047763127897058
CRK,0.001316472220301207
CSF2,-0.20815174692061747
CSF3R,0.2143192012936188
CTSL,-0.3461810372544574
CXCL1,-0.29925837763351126
CXCL10,-0.3583399401483244
CXCL12,-0.29171002713212535
CXCL13,-0.04708130624183522
CXCL2,-0.03905261048531672
CXCL5,-0.04708130624183522
CXCL6,-0.6790243672183945
CXCL8,-0.26208935806717865
CXCL9,-0.04708130624183522
CXCR1,-0.6786553469724086
CXCR2,-0.29626793943357516
CXCR3,-0.04529631776685497
CXCR4,-0.2949556552206041
CXCR5,-0.6786553469724086
CYP19A1,-0.3337073330542832
CYP1A1,-0.5563183223871053
CYP1A2,-0.6344666850919015
CYP1B1,-0.5816386577667121
CYP2B6,-0.8324490704794263
CYP2C19,-0.47001295616607436
CYP2C8,-0.2242531933917985
CYP2C9,-0.4476094120606689
CYP2D6,-0.7510645565206523
CYP2E1,-0.23462980610706854
CYP3A4,-0.6024725382036114
CYP3A5,0.1423944632594995
DAB2,-0.7529902115837217
DCLRE1C,-0.34446527210224254
DNAJC6,-0.7529902115837217
DRD1,-0.6884623792168628
DRD2,-0.5243681847516991
DRD3,-0.49588135683868645
DRD4,-0.7105826158244539
EDN1,-0.5527705797851237
EDN2,-0.7575735137416671
EFNA5,0.024039159259095284
EGF,-0.3116927403278013
ERBB3,-0.5763823945868634
ERBB4,-0.4880258683267901
ESR1,-0.645219060933344
ESR2,-0.5816386577667121
F10,0.09315503701039374
F2,-0.5494244905069925
F2R,-0.5731699632918735
F2RL3,-1.0325860947358212
FCGR1A,0.2094934726432926
FCGR2A,-0.2096964880826551
FCGR2B,0.2094934726432926
FCGR3A,0.2094934726432926
FGA,-1.1410012295802032
FGF1,-0.07212153387493857
FGF10,0.34378280057691296
FGF2,-0.409236594047553
FGF20,-0.4880258683267901
FGF4,-0.03531159156243532
FGF7,0.4128384377288324
FGFR1,-0.0439199279668707
FGFR2,-0.09946667346558942
FGFR3,-0.4572275253496576
FPR2,-0.047392517990549145
GAK,-0.24219285465193888
GAL,-0.40315206694339334
GALR1,-0.6500032061981434
GAST,-0.18912325792157095
GCG,-0.6816204433097689
GDNF,-0.5460224975591581
GFRA1,-0.600880662648489
GH1,-0.8613505397419798
GHRH,-0.6932676748418163
GHRL,-0.5744024986893005
GHSR,-0.7575735137416671
GIP,-0.7062071514303319
GPER1,-0.6786553469724086
GPR17,-0.5964864831697765
GPR65,-0.7575735137416671
GRAP2,0.00293395641358924
GRIN2A,-0.6587282536891639
GRIN2B,-0.5974019599710729
GRM8,-0.5943826910364334
GRP,-0.15838500315766624
GRPR,-0.33336111661418727
GSTM1,-0.943374659083517
GSTP1,-0.7650509779311565
GSTT1,-0.943374659083517
HBEGF,-0.48881048436254937
HGF,-0.1591469813323552
HLA-DPA1,0.3404289657703175
HLA-DPB1,0.3447215513531354
HLA-DQA1,-0.7851376622656989
HLA-DQA2,-0.7851376622656989
HLA-DQB1,-0.7851376622656989
HLA-DRB3,0.3404289657703175
HLCS,-1.1705119419266277
HRH1,-0.33336111661418727
HRH3,-0.003489408534932875
HTR1A,-0.0680884207528967
HTR1B,-0.6847970771626817
HTR1D,-0.6623545057834487
HTR1E,-0.6614528378432036
HTR2A,-0.702862083213594
HTR2C,-0.6828040248534697
IAPP,-0.17107339063181964
ICOS,0.6991900349198463
IGF2R,-0.7529902115837217
IGHG3,-1.0480764095345505
IKBKB,0.6458892830115133
IL1B,-0.36788277846338285
IL1R1,-0.8404536830994633
IL2,-0.05021243941020349
IL2RA,0.012869021975844183
IL2RB,0.21807094468529936
IL2RG,0.10887239832621097
IL3,-0.036051412788425476
IL5,0.43340803172331643
IL5RA,0.43340803172331643
IL6,-0.9055963350277193
IL6ST,0.1676260285267865
IRAK1,1.0437341480122448
IRAK4,2.580384974496262
IRS1,-0.1507037522029968
ITGA2B,0.6369131314495409
ITGAV,0.3447215513531354
ITGB3,-0.3437814319667174
ITK,0.1885610217331716
JAK1,-0.16596906125271446
JAK2,-0.17252798446956746
JAK3,0.21807094468529936
KAT5,-0.1653136832911652
KDR,-0.4911643324698271
KIT,-0.4572275253496576
KL,-0.3550529343007707
KNG1,-0.4921925180281821
KRAS,-0.5510799091933958
KRT16,-0.5304319047344669
KRT8,-1.1293390879283
LDLRAP1,-0.7067535373721993
LPAR1,-0.16838018819815168
LPAR2,-0.16838018819815168
LRP1,-1.7549956285381008
LRP2,-0.4941551110670765
LTA,-0.6192390451356549
LTA4H,-0.427521145551303
LTB,-0.7973205895398188
LY96,1.618671028433667
MAP3K7,-0.24695380641250608
MAP3K8,-0.4929166784717722
MAPK1,-1.7527272831184817
MAPK3,-1.7527272831184817
MET,-0.5038938756839573
MMP2,0.025580724006696115
MTOR,0.7093459005334948
MYD88,1.169234281616112
NBN,-0.1125481496176217
NCAM1,0.10778674882553216
NCK1,-0.5240233924595978
NCK2,-0.5240233924595978
NCOA3,-0.1877825167838621
NFKB1,-0.013287316169435551
NFKBIA,-0.03946006088252485
NGF,-0.4387633123015213
NOS2,-0.4874833813163697
NPY,-0.6825511179226431
NR1I2,-0.40006806684563706
NRAS,-0.11967808589674832
NRG1,-0.1491270471258117
NTRK2,-0.4387633123015213
NTS,-0.33336111661418727
OCRL,-0.47262903683531016
OPRD1,-0.49183780674272465
OPRK1,-0.6786553469724086
OXT,-0.1997465592180254
P2RY12,-0.3072531215834573
P2RY2,-0.7531473068435659
PAK2,-0.5240233924595978
PALB2,-0.08837837345792997
PARP1,0.0479445569449783
PDGFA,-0.6004876151169293
PDGFB,-0.03531159156243532
PDGFRA,-0.013761307957674052
PDGFRB,-0.013761307957674052
PF4,-0.04819091375667906
PIK3CA,-0.23223742238297765
PIK3CB,-0.15380629063834014
PIK3CD,-0.041617300686827584
PLA2G4A,-0.1954482853067212
PLAT,-0.7096020726923874
PLAUR,-1.3532411436038918
PLG,-0.8050197688445765
PNOC,-0.004989435401266081
POMC,-0.07727777820248721
PPARA,-1.1242436096639352
PPARG,-0.14230744983871357
PPBP,-0.34150049512171193
PPY,-0.42812792003079864
PSPN,-0.4911643324698271
PTGDR2,-0.08377241109341738
PTGS1,-0.3392273505720892
PTGS2,-0.17464645874371584
PTH,-0.3085520316963242
PTHLH,-0.2744312622835586
PTK2B,-0.600880662648489
PTPN11,0.1808246557315165
PTPN6,0.1676260285267865
PTPRA,-0.40471600294608034
RAD51,-0.1125481496176217
RAMP1,-0.7004047306192421
RAMP2,-0.5495417895309078
RAP1B,0.3447215513531354
RASGRP1,0.4540313939401574
RELA,-0.4929166784717722
RET,-0.5475178868577828
RHOA,-0.2557267970101513
RIPK1,-0.46710051966343114
RLN2,-0.7062071514303319
S1PR1,-0.08377241109341738
S1PR3,-0.6443377593969961
SAA1,-0.17148566883744326
SCARB2,-0.47262903683531016
SCN5A,-0.4555729728125453
SCT,-0.4313661188164275
SERPINC1,-0.24446339801008365
SERPINE1,-0.8693310075190822
SF3B1,0.1818124611109777
SHC1,-0.24415963136953023
SLC18A2,-0.5974019599710729
SLC22A1,0.18223884501920917
SLC6A3,-0.3579605279253639
SLC6A4,-0.7809299669784011
SLCO1B1,-0.3271695975169486
SLCO1B3,0.3977086226612929
SOD1,-0.943374659083517
SPTBN4,-0.6587282536891639
SPTBN5,-0.6587282536891639
SRC,-0.010345658261575274
SRSF2,0.1818124611109777
SST,-0.11798337360271915
SSTR1,-0.047392517990549145
STAT1,-0.053435458962677096
STAT3,-0.8667852197870562
SYK,0.2545694988799069
SYT1,-0.24219285465193888
TAB2,-0.24695380641250608
TAB3,1.0437341480122448
TAC1,-0.2790973014105614
TAS2R50,-0.6786553469724086
TBXA2R,-0.7716165401514433
TEK,0.020230890615341224
TF,-0.4650372648313587
TICAM1,2.580384974496262
TLR3,1.169234281616112
TLR4,-0.33400524449534014
TNF,-0.23121552296492265
TP53,-0.31045215129571346
TPMT,0.7943008267116998
TRAF6,1.0437341480122448
TRH,-0.519447172050344
TSHR,-0.7062071514303319
TTN,-0.5304319047344669
TTR,-0.8830400778091878
TXNRD2,-0.8698317743030746
UTS2,-0.7575735137416671
UTS2B,-0.7575735137416671
UTS2R,-0.7575735137416671
VAMP8,-0.7529902115837217
VEGFA,-0.45214109826154336
VIP,-0.23992136172240103
VWF,-0.3582439046002123
WNT5A,-0.6313717932666305
XDH,-0.07226096489270616
ZAP70,0.3447215513531354
