Gene,Drug,Adverse Event,Difference in -log(BH),Adverse Event Count,Adverse event mean -log(BH) diff,All Adverse Event Counts,All Adverse events mean -log(BH) diff
AGT,captopril,Proteinuria,-1.340930746824771,0.0,0.0,82,-0.06548427075245493
AGT,amantadine,Pneumonia,-0.1442417667029545,58.0,-0.04708130624183522,82,-0.06548427075245493
AGT,amitriptyline,Pneumonia,-0.342088606912533,58.0,-0.04708130624183522,82,-0.06548427075245493
AGT,amoxapine,Pneumonia,-0.4084578135763266,58.0,-0.04708130624183522,82,-0.06548427075245493
AGT,apomorphine,Pneumonia,-0.3013332624474252,58.0,-0.04708130624183522,82,-0.06548427075245493
AGT,aripiprazole,Pneumonia,-0.6559961283807034,58.0,-0.04708130624183522,82,-0.06548427075245493
AGT,asenapine,Pneumonia,-0.6656210872091517,58.0,-0.04708130624183522,82,-0.06548427075245493
AGT,buprenorphine,Pneumonia,-0.2333058203883933,58.0,-0.04708130624183522,82,-0.06548427075245493
AGT,chlorpromazine,Pneumonia,-0.2832179425152006,58.0,-0.04708130624183522,82,-0.06548427075245493
AGT,clopidogrel,Pneumonia,-0.3748419221742001,58.0,-0.04708130624183522,82,-0.06548427075245493
AGT,clozapine,Pneumonia,-0.5779667422051951,58.0,-0.04708130624183522,82,-0.06548427075245493
AGT,codeine,Pneumonia,-0.2744020314804629,58.0,-0.04708130624183522,82,-0.06548427075245493
AGT,dexamethasone,Pneumonia,-0.2642539292953962,58.0,-0.04708130624183522,82,-0.06548427075245493
AGT,dextromethorphan,Pneumonia,-0.2596276404213178,58.0,-0.04708130624183522,82,-0.06548427075245493
AGT,doxepin,Pneumonia,-0.4777324410676122,58.0,-0.04708130624183522,82,-0.06548427075245493
AGT,fentanyl,Pneumonia,-0.3677379132473319,58.0,-0.04708130624183522,82,-0.06548427075245493
AGT,fluphenazine,Pneumonia,-0.501900294573872,58.0,-0.04708130624183522,82,-0.06548427075245493
AGT,gabapentin,Pneumonia,-0.0037129000818776,58.0,-0.04708130624183522,82,-0.06548427075245493
AGT,haloperidol,Pneumonia,-0.4222035195123546,58.0,-0.04708130624183522,82,-0.06548427075245493
AGT,hydrocodone,Pneumonia,-0.2950945268770173,58.0,-0.04708130624183522,82,-0.06548427075245493
AGT,iloperidone,Pneumonia,-0.3667479433831939,58.0,-0.04708130624183522,82,-0.06548427075245493
AGT,levodopa,Pneumonia,2.514772844129258,58.0,-0.04708130624183522,82,-0.06548427075245493
AGT,loxapine,Pneumonia,-0.4546484822110681,58.0,-0.04708130624183522,82,-0.06548427075245493
AGT,lurasidone,Pneumonia,-0.0031627153047573,58.0,-0.04708130624183522,82,-0.06548427075245493
AGT,maraviroc,Pneumonia,2.667214224381297,58.0,-0.04708130624183522,82,-0.06548427075245493
AGT,memantine,Pneumonia,-0.3581515061424927,58.0,-0.04708130624183522,82,-0.06548427075245493
AGT,metoclopramide,Pneumonia,-0.3547710362817149,58.0,-0.04708130624183522,82,-0.06548427075245493
AGT,mirtazapine,Pneumonia,-0.0302973919320468,58.0,-0.04708130624183522,82,-0.06548427075245493
AGT,molindone,Pneumonia,0.0529445515874549,58.0,-0.04708130624183522,82,-0.06548427075245493
AGT,naltrexone,Pneumonia,2.3878245537366585,58.0,-0.04708130624183522,82,-0.06548427075245493
AGT,nefazodone,Pneumonia,-0.362377007997523,58.0,-0.04708130624183522,82,-0.06548427075245493
AGT,octreotide,Pneumonia,0.0382128487838802,58.0,-0.04708130624183522,82,-0.06548427075245493
AGT,olanzapine,Pneumonia,-0.4811959370645429,58.0,-0.04708130624183522,82,-0.06548427075245493
AGT,oxymorphone,Pneumonia,-0.1692107240580416,58.0,-0.04708130624183522,82,-0.06548427075245493
AGT,paliperidone,Pneumonia,-0.3557897377368384,58.0,-0.04708130624183522,82,-0.06548427075245493
AGT,paroxetine,Pneumonia,-0.5401661056107603,58.0,-0.04708130624183522,82,-0.06548427075245493
AGT,pergolide,Pneumonia,-0.3323296060481659,58.0,-0.04708130624183522,82,-0.06548427075245493
AGT,perphenazine,Pneumonia,-0.3306314735924953,58.0,-0.04708130624183522,82,-0.06548427075245493
AGT,pilocarpine,Pneumonia,-0.2900622234684977,58.0,-0.04708130624183522,82,-0.06548427075245493
AGT,pimavanserin,Pneumonia,-0.1946851841350714,58.0,-0.04708130624183522,82,-0.06548427075245493
AGT,pimozide,Pneumonia,-0.2724390058424042,58.0,-0.04708130624183522,82,-0.06548427075245493
AGT,pramipexole,Pneumonia,0.3197756978734567,58.0,-0.04708130624183522,82,-0.06548427075245493
AGT,prochlorperazine,Pneumonia,-0.587642391181328,58.0,-0.04708130624183522,82,-0.06548427075245493
AGT,promethazine,Pneumonia,-0.7742453080292844,58.0,-0.04708130624183522,82,-0.06548427075245493
AGT,quetiapine,Pneumonia,-0.5482503791866318,58.0,-0.04708130624183522,82,-0.06548427075245493
AGT,remifentanil,Pneumonia,2.69020138254721,58.0,-0.04708130624183522,82,-0.06548427075245493
AGT,risperidone,Pneumonia,-0.4262534929280583,58.0,-0.04708130624183522,82,-0.06548427075245493
AGT,ropinirole,Pneumonia,0.401810761221526,58.0,-0.04708130624183522,82,-0.06548427075245493
AGT,sumatriptan,Pneumonia,-0.1348644907076472,58.0,-0.04708130624183522,82,-0.06548427075245493
AGT,tetrabenazine,Pneumonia,-0.2894509242276282,58.0,-0.04708130624183522,82,-0.06548427075245493
AGT,thioridazine,Pneumonia,-0.0915600296991847,58.0,-0.04708130624183522,82,-0.06548427075245493
AGT,thiothixene,Pneumonia,0.0135411265482723,58.0,-0.04708130624183522,82,-0.06548427075245493
AGT,tiotropium,Pneumonia,-0.4029140863165583,58.0,-0.04708130624183522,82,-0.06548427075245493
AGT,tramadol,Pneumonia,-0.4196738470846544,58.0,-0.04708130624183522,82,-0.06548427075245493
AGT,treprostinil,Pneumonia,-0.0295847671461526,58.0,-0.04708130624183522,82,-0.06548427075245493
AGT,trifluoperazine,Pneumonia,-0.2098084951311083,58.0,-0.04708130624183522,82,-0.06548427075245493
AGT,trihexyphenidyl,Pneumonia,-0.3232434743859951,58.0,-0.04708130624183522,82,-0.06548427075245493
AGT,ziprasidone,Pneumonia,-0.4408359282647929,58.0,-0.04708130624183522,82,-0.06548427075245493
AGT,zolmitriptan,Pneumonia,2.611716231332508,58.0,-0.04708130624183522,82,-0.06548427075245493
AGT,captopril,Myocardial Infarction,-0.427521145551303,1.0,-0.5816386577667121,82,-0.06548427075245493
AGT,escitalopram,Myocardial Infarction,-0.8673038141375802,1.0,-0.5816386577667121,82,-0.06548427075245493
AGT,estradiol,Myocardial Infarction,-0.5816386577667121,1.0,-0.5816386577667121,82,-0.06548427075245493
AGT,heparin,Myocardial Infarction,-0.6587282536891639,1.0,-0.5816386577667121,82,-0.06548427075245493
AGT,acamprosate,Gastric ulcer,-0.0926130265419384,23.0,-0.08945025138731086,82,-0.06548427075245493
AGT,atropine,Gastric ulcer,-0.0401780619153644,23.0,-0.08945025138731086,82,-0.06548427075245493
AGT,cabergoline,Gastric ulcer,-0.0364710283284068,23.0,-0.08945025138731086,82,-0.06548427075245493
AGT,caffeine,Gastric ulcer,-0.2168296782135623,23.0,-0.08945025138731086,82,-0.06548427075245493
AGT,captopril,Gastric ulcer,0.4786825935646952,23.0,-0.08945025138731086,82,-0.06548427075245493
AGT,cevimeline,Gastric ulcer,-0.4490428356905909,23.0,-0.08945025138731086,82,-0.06548427075245493
AGT,citalopram,Gastric ulcer,-0.3242546491784441,23.0,-0.08945025138731086,82,-0.06548427075245493
AGT,clomipramine,Gastric ulcer,-0.2381203795973796,23.0,-0.08945025138731086,82,-0.06548427075245493
AGT,clopidogrel,Gastric ulcer,0.3251206454185329,23.0,-0.08945025138731086,82,-0.06548427075245493
AGT,clozapine,Gastric ulcer,-0.1960273652769775,23.0,-0.08945025138731086,82,-0.06548427075245493
AGT,dextromethorphan,Gastric ulcer,0.1528266445650228,23.0,-0.08945025138731086,82,-0.06548427075245493
AGT,diphenhydramine,Gastric ulcer,-0.1621698859814664,23.0,-0.08945025138731086,82,-0.06548427075245493
AGT,donepezil,Gastric ulcer,-0.482013522098871,23.0,-0.08945025138731086,82,-0.06548427075245493
AGT,doxylamine,Gastric ulcer,-0.0757745184419125,23.0,-0.08945025138731086,82,-0.06548427075245493
AGT,hyoscyamine,Gastric ulcer,-0.01179221714583,23.0,-0.08945025138731086,82,-0.06548427075245493
AGT,octreotide,Gastric ulcer,0.7838558621265488,23.0,-0.08945025138731086,82,-0.06548427075245493
AGT,paroxetine,Gastric ulcer,-0.2135129107515823,23.0,-0.08945025138731086,82,-0.06548427075245493
AGT,pergolide,Gastric ulcer,0.0142432006435964,23.0,-0.08945025138731086,82,-0.06548427075245493
AGT,phenylephrine,Gastric ulcer,0.0770863596487281,23.0,-0.08945025138731086,82,-0.06548427075245493
AGT,pramipexole,Gastric ulcer,-0.4389631562289331,23.0,-0.08945025138731086,82,-0.06548427075245493
AGT,pseudoephedrine,Gastric ulcer,-0.420282081983748,23.0,-0.08945025138731086,82,-0.06548427075245493
AGT,ropinirole,Gastric ulcer,-0.4579357257573662,23.0,-0.08945025138731086,82,-0.06548427075245493
AGT,scopolamine,Gastric ulcer,-0.0331900447429003,23.0,-0.08945025138731086,82,-0.06548427075245493
GAL,adenosine,Myocardial Infarction,-0.6048911261083845,53.0,-0.6850607278922985,68,-0.5347141133281736
GAL,amitriptyline,Myocardial Infarction,-0.4387633123015213,53.0,-0.6850607278922985,68,-0.5347141133281736
GAL,amoxapine,Myocardial Infarction,-0.6806729813555457,53.0,-0.6850607278922985,68,-0.5347141133281736
GAL,apomorphine,Myocardial Infarction,-0.5398531574849681,53.0,-0.6850607278922985,68,-0.5347141133281736
GAL,aripiprazole,Myocardial Infarction,-0.5601201197567622,53.0,-0.6850607278922985,68,-0.5347141133281736
GAL,atropine,Myocardial Infarction,-0.5563150188446446,53.0,-0.6850607278922985,68,-0.5347141133281736
GAL,bromocriptine,Myocardial Infarction,-0.5066459573765147,53.0,-0.6850607278922985,68,-0.5347141133281736
GAL,captopril,Myocardial Infarction,-0.427521145551303,53.0,-0.6850607278922985,68,-0.5347141133281736
GAL,clozapine,Myocardial Infarction,-0.926819571051034,53.0,-0.6850607278922985,68,-0.5347141133281736
GAL,desipramine,Myocardial Infarction,-0.9501123357607176,53.0,-0.6850607278922985,68,-0.5347141133281736
GAL,dexamethasone,Myocardial Infarction,-0.93218411340378,53.0,-0.6850607278922985,68,-0.5347141133281736
GAL,dihydroergotamine,Myocardial Infarction,-0.6500183979496104,53.0,-0.6850607278922985,68,-0.5347141133281736
GAL,diphenhydramine,Myocardial Infarction,-1.0567399606511465,53.0,-0.6850607278922985,68,-0.5347141133281736
GAL,disopyramide,Myocardial Infarction,-0.4555729728125453,53.0,-0.6850607278922985,68,-0.5347141133281736
GAL,eletriptan,Myocardial Infarction,-0.8595706615867158,53.0,-0.6850607278922985,68,-0.5347141133281736
GAL,escitalopram,Myocardial Infarction,-0.8673038141375802,53.0,-0.6850607278922985,68,-0.5347141133281736
GAL,estradiol,Myocardial Infarction,-0.5816386577667121,53.0,-0.6850607278922985,68,-0.5347141133281736
GAL,fentanyl,Myocardial Infarction,-0.3296246199192971,53.0,-0.6850607278922985,68,-0.5347141133281736
