Gene,Mean Difference in -log(BH)
ABCB1,-0.11588549822908938
ABCG2,0.016343894789531875
ACKR3,-0.04529631776685497
ADM,-0.4713167667672469
ADORA1,-0.6337979677861898
ADORA2A,-0.058684563173093444
ADORA2B,-0.1842295953623388
ADORA3,-0.6337979677861898
ADRA1D,-0.427521145551303
ADRA2B,-0.6587282536891639
AGT,-0.10074644374307119
AGTR1,-0.8842259461880371
AGTR2,-0.6337979677861898
ALB,-0.42798444048550294
ANGPT1,-0.6587282536891639
ANXA1,-0.02953895062548382
AP1M1,-0.5304319047344669
APOA1,-0.10166753186227523
APOA2,-0.36075953092261626
APOA4,-0.36075953092261626
APOB,-0.24219285465193888
APOC1,-0.040752510591057334
APOC2,-0.19662596511370722
APOC3,-0.36075953092261626
APP,-0.5495417895309078
ATM,-0.3507822625985655
AVP,-0.27308090313516625
AVPR1A,-0.427521145551303
B2M,0.3404289657703175
BCR,0.012034258661959299
BDKRB1,-0.20252226855859057
BDKRB2,-0.1066855374860638
BECN1,-0.5816386577667121
BIN1,-0.7529902115837217
BIRC3,0.6458892830115133
C3,-0.3473706203570157
CALCR,-0.7062071514303319
CASR,-0.5559626856690597
CCK,0.4786825935646952
CCL16,-0.6850607278922985
CCL5,-0.4642469394122813
CCR2,-0.5030197588893243
CCR3,-0.6337979677861898
CCR5,-0.13851796617030415
CCR7,-0.24146334109559306
CD14,0.7094353702378265
CD28,-0.6587282536891639
CD36,-0.4713167667672469
CD3D,-0.24219285465193888
CFTR,-0.2083824715407445
CHRM1,-0.7575735137416671
CHRM3,-0.7557943475878404
CHRNA4,-0.5689768383056784
CNR1,-0.1507037522029968
CNR2,-0.6786553469724086
COMT,-0.8698317743030746
CRK,0.001316472220301207
CSF2,-0.6587282536891639
CSF3R,0.2143192012936188
CTSL,-0.052708222838277585
CXCL10,-0.0962009250146735
CXCL12,-0.49725294176830426
CXCL6,-0.6254878724851984
CXCL8,-0.3899117208216403
CXCR1,-0.6786553469724086
CXCR2,-0.6786553469724086
CXCR4,-0.6685462898767873
CXCR5,-0.6337979677861898
CYP1A2,-0.6466044817382102
CYP1B1,-0.5816386577667121
CYP2C19,-0.7716710319081335
CYP2C8,0.1259675068169468
CYP3A4,-0.9132774421509022
DNAJC6,-0.7529902115837217
DRD1,-0.6379115749198319
DRD2,-0.2089667088802898
DRD4,-0.5974019599710729
EDN1,0.025580724006696115
EDN2,-0.427521145551303
EFNA5,0.024039159259095284
ERBB4,-0.4880258683267901
F2,-0.33587943329501
F2R,-0.19143741685422883
F2RL3,-1.0325860947358212
FCGR2B,0.2094934726432926
FGF1,-0.4880258683267901
FGF2,-0.4880258683267901
FGF20,-0.4880258683267901
FGF4,-0.03531159156243532
FGFR1,-0.0439199279668707
FGFR2,-0.0439199279668707
FGFR3,-0.6587282536891639
GAK,-0.24219285465193888
GAL,-0.5339769315929495
GALR1,-0.6500032061981434
GAST,0.4786825935646952
GH1,-1.901196468100899
GHRH,-0.4713167667672469
GHRL,0.025580724006696115
GHSR,-0.427521145551303
GIP,-0.7062071514303319
GPER1,-0.6786553469724086
GPR17,-0.5964864831697765
GPR65,-0.7575735137416671
GRAP2,0.1176171423151632
GRIN2A,-0.6587282536891639
GRM8,-0.5431246996202335
GSTP1,-0.7056097508803697
HBEGF,-0.6587282536891639
HGF,-0.09515395511039514
HLA-DPA1,0.3404289657703175
HLA-DPB1,0.3447215513531354
HRH1,-0.33336111661418727
HRH3,0.4786825935646952
HTR1A,-0.0680884207528967
HTR1B,-0.6847970771626817
HTR1D,-0.6337979677861898
HTR1E,-0.6614528378432036
HTR2A,-0.7508258109885345
