Gene,Mean Difference in -log(BH)
A2M,-0.5066220188193781
A2ML1,-0.2616585861011098
AAA1,-0.2585546164033702
AAAS,-0.2686230295282266
AAK1,-0.2585546164033702
AARS,-0.600880662648489
AAVS1,-0.2616585861011098
ABCA1,-0.4481652696718945
ABCA12,-0.2585546164033702
ABCA3,-0.024538863437767216
ABCA4,-0.7241589630474792
ABCB1,-0.642991342103656
ABCB11,-0.600880662648489
ABCB4,-0.36313231494699516
ABCB6,-0.11378164600453868
ABCC1,-0.2686230295282266
ABCC11,-0.2585546164033702
ABCC2,-0.600880662648489
ABCC3,-0.600880662648489
ABCC4,-0.600880662648489
ABCC5,-0.600880662648489
ABCC6,-0.7226370087215657
ABCC7,-0.35322613379276624
ABCC8,-0.3633639680530516
ABCC9,-0.6392099142205949
ABCD1,-0.600880662648489
ABCD4,-0.21132595518782496
ABCF1,-0.10845901757095847
ABCG1,-0.642991342103656
ABCG2,-0.6420470310171515
ABCG5,-0.3034492896799361
ABCG8,-0.3034492896799361
ABHD12,-0.600880662648489
ABL1,-0.21132595518782496
ABO,-0.5541680423008029
ACACA,-0.3034492896799361
ACACB,-0.3034492896799361
ACAD9,-0.23342320778390124
ACADM,-0.2616585861011098
ACADSB,-0.3034492896799361
ACAT1,-0.3034492896799361
ACAT2,-0.3034492896799361
ACD,-0.21132595518782496
ACE,-0.33699030378442846
ACE1,-0.7186984253567977
ACE2,-0.3889281637920561
ACHE,-0.7241589630474792
ACKR1,-0.4089951688002213
ACO2,-0.600880662648489
ACOT7,-0.7051228396644484
ACP5,-0.07073352053724387
ACSL3,-0.3034492896799361
ACSL4,-0.83370462769801
ACSL5,-0.3034492896799361
ACSM3,-0.3034492896799361
ACT,-0.4756886799460847
ACTA1,-0.7241589630474792
ACTA2,-0.7241589630474792
ACTBL2,-0.7051228396644484
ACTG1,-0.7038669098208826
ACTG2,-0.5769771755982259
ACTL8,-0.600880662648489
ACTN1,-0.21132595518782496
ACTN4,-0.3368343796227025
AD14,-0.024538863437767216
ADA,-0.33750413994132766
ADA2,-0.600880662648489
ADAM10,-0.12413585086559624
ADAM11,-0.7241589630474792
ADAM17,-0.37258327773635663
ADAM8,-0.7241589630474792
ADAMTS1,-0.46997999446806554
ADAMTS10,-0.044869343523860294
ADAMTS13,-0.4955330937051489
ADAMTS18,-0.35322613379276624
ADAMTS2,-0.2616585861011098
ADAMTS7,-0.6434167025021932
ADD1,-0.7241589630474792
ADH1B,-0.638227462076644
ADH1C,-0.6385590793733147
ADH4,-0.35322613379276624
ADIPOQ,-0.528481519529553
ADIPOR2,-0.6313298223058947
ADM,-0.46697405868804237
ADORA1,-0.7186984253567977
ADORA2A,-0.7511245830492573
ADORA2B,-0.024538863437767216
ADORA3,-0.3976695832296136
ADRA1D,-0.5881860122576066
ADRA2A,-0.2585546164033702
ADRA2B,-0.7241589630474792
ADRB1,-0.6434167025021932
ADRB2,-0.35688256597373685
ADRB3,-0.533252610750681
ADRBK1,-0.7241589630474792
AFF4,-0.024538863437767216
AFG3L2,-0.600880662648489
AFP,-0.600880662648489
AGER,-0.37258327773635663
AGGF1,-0.2616585861011098
AGK,-0.21132595518782496
AGL,-0.3883344391235842
AGPAT2,-0.5869077533983226
AGR2,-0.35322613379276624
AGT,-0.49311746943013585
AGTR1,-0.5630197185253
AGTR2,-0.5472011809774874
AGXT,-0.7226370087215657
AHCYP3,-0.7241589630474792
AHR,-0.08982375119123312
AHSA1,-0.2585546164033702
AHSG,-0.7241589630474792
AICDA,-0.600880662648489
AIFM1,-0.600880662648489
AIMP1,-0.7241589630474792
AIMP2,-0.2585546164033702
AIP,-0.2795123796036034
AIRE,-0.7226370087215657
AK2,-0.5138668418589347
AKAP10,-0.7241589630474792
AKR1A1,-0.7173284513718173
AKR1B1,-0.08982375119123312
AKR1C4,-0.7241589630474792
AKT1,-0.6489423760233829
AKT1S1,-0.7186984253567977
AKT2,-0.3034492896799361
ALAD,-0.600880662648489
ALAS1,-0.2585546164033702
ALB,-0.2932456273058418
ALDH18A1,-0.600880662648489
ALDH1A1,-0.600880662648489
ALDH2,-0.638227462076644
ALDH7A1,-0.024538863437767216
ALG1,-0.2616585861011098
ALG8,-0.2616585861011098
ALMS1,-0.3870767691618984
ALOX12,-0.5882973688399827
ALOX12B,-0.2585546164033702
ALOX15,-0.7226370087215657
ALOX5,-0.37106726892646175
ALOX5AP,-0.7238672434395488
ALOXE3,-0.2585546164033702
ALS2,-0.7173284513718173
AMACR,-0.600880662648489
AMH,-0.37258327773635663
AMMECR1,-0.83370462769801
AMN,-0.3758936401417611
AMPD1,-0.5881860122576066
AMPD2,-0.2585546164033702
AMT,-0.4400498267555995
AMY2A,-0.35322613379276624
ANG,-0.3447184995725128
ANGPT1,-0.347185568847667
ANGPT2,-0.49944850490091763
ANGPTL1,-0.6313298223058947
ANGPTL3,-0.3034492896799361
ANGPTL4,-0.600880662648489
ANIB1,-0.35322613379276624
ANK2,-0.7241589630474792
ANKH,-0.2616585861011098
ANKRD11,-0.21132595518782496
ANKRD18EP,-0.7241589630474792
ANKRD26,-0.21132595518782496
ANKRD55,-0.2616585861011098
ANLN,-0.83370462769801
ANP32B,-0.7241589630474792
ANTXR1,-0.6392099142205949
ANXA1,-0.6313298223058947
ANXA5,-0.7241589630474792
AOAH,-0.2585546164033702
AOC2,-0.024538863437767216
AOC3,-0.024538863437767216
AP1S1,-0.600880662648489
AP2S1,-0.35322613379276624
AP3B1,-0.21132595518782496
AP3D1,-0.7241589630474792
APC,-0.5100970817008934
APCS,-0.5470251576360288
APELA,-0.2585546164033702
APEX1,-0.3976695832296136
APOA1,-0.37183230786818133
APOA2,-0.6434167025021932
APOA4,-0.6434167025021932
APOA5,-0.5885338271115077
APOB,-0.6424360316370961
APOBEC1,-0.37175773397701084
APOC1,-0.5472011809774874
APOC2,-0.33123171430105064
APOC3,-0.6434167025021932
APOE,-0.4698413306108365
APOER2,-0.7241589630474792
APOF,-0.3034492896799361
APOH,-0.7186984253567977
APOM,-0.7241589630474792
APOPT1,-0.83370462769801
APP,-0.5001730203134004
APRT,-0.11319048995842515
APTX,-0.600880662648489
AQP1,0.34378280057691296
AQP4,0.34378280057691296
AQP5,-0.20835983165501323
AR,-0.35880962992047283
ARC,-0.37556780341057566
ARCN1,-0.024538863437767216
ARG1,-0.7241589630474792
ARG2,-0.2585546164033702
ARHGAP31,-0.21132595518782496
ARHGDIA,-0.3656669573005462
ARHGEF2,-0.024538863437767216
ARHGEF5,-0.024538863437767216
ARHGEF7,-0.3993276586283946
ARID1B,-0.11378164600453868
ARL6IP1,-0.600880662648489
ARMS2,-0.7241589630474792
ARRB2,-0.7511245830492573
ARSA,-0.642991342103656
ARTN,-0.6262549623629937
ARVCF,-0.2275574013320193
AS3MT,-0.3034492896799361
ASAH1,-0.2616585861011098
ASCC1,-0.4006033105525724
ASL,-0.24463045757366442
ASNS,-0.35322613379276624
ASPG,-0.21132595518782496
ASRGL1,-0.3034492896799361
ASS1,-0.25965013512021945
ATAT1,-0.3076039856010708
ATF3,-0.10433561004426355
ATG16L1,-0.2585546164033702
ATL1,-0.600880662648489
ATL3,-0.600880662648489
ATM,-0.40646132858089745
ATN1,-0.17516695943282082
ATOH1,-0.7241589630474792
ATP10D,-0.7241589630474792
ATP12A,-0.11378164600453868
ATP13A2,-0.600880662648489
ATP2B1,-0.7241589630474792
ATP4A,-0.11378164600453868
ATP5E,-0.600880662648489
ATP5J,-0.7241589630474792
ATP6,-0.5476047861028334
ATP6V0A1,-0.5472011809774874
ATP6V0A2,-0.2585546164033702
ATP6V0A4,-0.2585546164033702
ATP7A,-0.2686230295282266
ATP7B,-0.293609797664793
ATP8,-0.36313231494699516
ATP8B1,-0.35322613379276624
ATR,-0.6095586026516038
ATRX,-0.21132595518782496
ATXN1,-0.7226370087215657
ATXN2,-0.7226370087215657
ATXN3,-0.600880662648489
ATXN7,-0.2686230295282266
ATXN8,-0.600880662648489
ATXN8OS,-0.600880662648489
AURKA,-0.600880662648489
AVPR1A,-0.6786250673410513
AZI2,-0.2585546164033702
B2M,-0.3758936401417611
B4GALNT2,-0.6434167025021932
BAAT,-0.2585546164033702
BACE1,-0.6313298223058947
BAD,-0.19475635826151222
BAG3,-0.600880662648489
BAG6,-0.2585546164033702
BAI2,-0.6313298223058947
BAK1,-0.600880662648489
BANK1,-0.7241589630474792
BARD1,-0.7241589630474792
BAX,-0.39901535196748694
BAZ1B,-0.646837157886376
BBC3,-0.2585546164033702
BCKDHA,-0.3139828990677706
BCKDHB,-0.3139828990677706
BCL2,-0.33295380739041724
BCL2L1,-0.5744437720746824
BCL6,-0.2616585861011098
BCR,-0.21132595518782496
BCS1L,-0.6313298223058947
BDKRB1,-0.5290394708849703
BDKRB2,-0.5202060295952191
BDNF,-0.45241642917667874
BDPLT16,-0.7241589630474792
BDPLT2,-0.7241589630474792
