Gene,Mean Difference in -log(BH)
A2M,-0.25965013512021945
A2ML1,-0.2616585861011098
AAA1,-0.2585546164033702
AAAS,-0.2686230295282266
AAVS1,-0.2616585861011098
ABCA1,-0.19475635826151222
ABCA12,-0.2585546164033702
ABCB11,-0.600880662648489
ABCB6,-0.11378164600453868
ABCC2,-0.600880662648489
ABCC3,-0.600880662648489
ABCC4,-0.600880662648489
ABCC5,-0.600880662648489
ABCC6,-0.7226370087215657
ABCC7,-0.35322613379276624
ABCC8,-0.83370462769801
ABCC9,-0.2616585861011098
ABCG1,-0.3034492896799361
ABCG2,-0.7241589630474792
ABO,-0.37506576263153263
ACACA,-0.3034492896799361
ACACB,-0.3034492896799361
ACAD9,-0.2616585861011098
ACADM,-0.2616585861011098
ACAT2,-0.3034492896799361
ACE,-0.5829508098741368
ACE1,-0.7241589630474792
ACKR1,-0.7241589630474792
ACO2,-0.600880662648489
ACOT7,-0.7051228396644484
ACP5,-0.21132595518782496
ACSM3,-0.3034492896799361
ACT,-0.5771832401417627
ACTA1,-0.7241589630474792
ACTBL2,-0.7051228396644484
ACTG1,-0.7051228396644484
ACTG2,-0.5769771755982259
ACTL8,-0.600880662648489
ADA,-0.34711201493255894
ADAM10,-0.024538863437767216
ADAM11,-0.7241589630474792
ADAMTS2,-0.2616585861011098
ADIPOQ,-0.29841630793574747
ADIPOR2,-0.6313298223058947
ADRA1D,-0.2585546164033702
ADRA2A,-0.2585546164033702
ADRB1,-0.3034492896799361
ADRB2,-0.600880662648489
ADRBK1,-0.7241589630474792
AFF4,-0.024538863437767216
AFG3L2,-0.600880662648489
AGGF1,-0.2616585861011098
AGK,-0.21132595518782496
AGPAT2,-0.5869077533983226
AGT,-0.25615162244949724
AGTR1,-0.22217615382605857
AGTR2,-0.3034492896799361
AGXT,-0.7241589630474792
AHR,-0.600880662648489
AICDA,-0.600880662648489
AIP,-0.600880662648489
AK2,-0.2963906990334369
AKAP10,-0.7241589630474792
AKR1C4,-0.7241589630474792
AKT1,-0.2616585861011098
AKT2,-0.3034492896799361
ALAS1,-0.2585546164033702
ALDH18A1,-0.600880662648489
ALDH1A1,-0.600880662648489
ALG1,-0.2616585861011098
ALG8,-0.2616585861011098
ALMS1,-0.08408153870294933
ALOX12,-0.5881860122576066
ALOX12B,-0.2585546164033702
ALOXE3,-0.2585546164033702
ALS2,-0.600880662648489
AMH,-0.37258327773635663
AMN,-0.600880662648489
ANGPTL4,-0.600880662648489
ANKH,-0.2616585861011098
ANKRD11,-0.21132595518782496
ANKRD55,-0.2616585861011098
ANTXR1,-0.6392099142205949
APCS,-0.5881860122576066
APELA,-0.2585546164033702
APEX1,-0.024538863437767216
APOA1,-0.6313298223058947
APOA5,-0.6313298223058947
APOB,-0.6262549623629937
APOBEC1,-0.6313298223058947
APOE,-0.5383439021929667
APOER2,-0.7241589630474792
APOM,-0.7241589630474792
APP,-0.2686230295282266
AQP4,0.34378280057691296
AQP5,0.34378280057691296
ARCN1,-0.024538863437767216
ARG2,-0.2585546164033702
ARHGAP31,-0.21132595518782496
ARMS2,-0.7241589630474792
ARTN,-0.6313298223058947
ARVCF,-0.2275574013320193
ASAH1,-0.2616585861011098
ASCC1,-0.600880662648489
ASL,-0.23342320778390122
ASS1,-0.2616585861011098
