,Count
TNF,330
IL6,308
VEGFA,297
MTHFR,291
CCL2,290
ACE,285
NOS3,278
IL1RN,272
CXCL8,270
IL10,268
PTGS2,263
SERPINE1,262
IL18,261
IL1B,260
TGFB1,259
LTA,258
APOE,256
PPARG,250
IL1A,250
HLA-DRB1,248
MMP9,247
CRP,245
FOS,244
COX2,243
CAV1,242
GSTM1,241
TIMP1,239
TLR2,238
MBL2,236
BCL2,236
HMOX1,235
STAT3,233
CCL5,232
LEP,232
TLR4,231
FN1,231
MEFV,230
APOA1,229
PLAT,228
SELP,227
F2R,227
CASP1,226
NDUFA2,226
GSTT1,226
CD14,226
MIF,225
IL17A,222
NR3C1,221
CTLA4,220
ICAM1,220
HIF1A,217
PLAU,216
NFKB1,216
MPO,215
NFE2L2,214
ANGPT1,214
INS,213
CYP1A1,213
DECR1,212
IFNG,212
CSF2,212
HMGB1,212
SPP1,211
PLG,209
MMP1,209
MMP13,209
S100A8,209
PTGS1,208
TREM1,207
LCN2,207
S100A9,207
ADRB2,206
FCGR3A,206
CD40LG,206
HGF,206
ELANE,206
COX1,205
ALOX5,205
TNFRSF1A,204
NLRP3,202
C3,202
CCR2,202
VCAM1,202
KNG1,201
CASP8,201
TP53,201
F5,198
FAS,198
HSPD1,196
FGG,194
GSTP1,193
CCR1,193
CYBB,192
ACE2,192
PRH2,190
PRH1,190
SERPINA1,190
PIK3CG,189
PARP1,189
PLA2G4A,188
IL4,188
CTSG,188
CXCL12,188
SIRT1,188
CYBA,188
NR1I2,186
PLA2G1B,185
HLA-B,185
PROCR,185
BRCA1,184
CAT,184
NM,184
ADAMTS13,183
MYDGF,183
CCL11,183
TLR9,183
AMH,183
NFKBIA,183
FCGR3B,183
ADAM17,183
VDR,183
AGER,183
SOD2,181
BDNF,180
SARS2,180
FGA,178
CD40,176
F2,174
PDZD2,174
FGB,174
HP,173
MS4A1,173
ELN,172
AGT,171
NANOS3,171
TNFRSF1B,169
ALMS1,169
OSM,169
RAG2,168
LTB,168
IGF1,167
ADM,167
CYP2C9,166
ADIPOQ,165
NOS2,165
EDN1,164
ITGAM,163
CBS,162
CYP2C19,162
SH2D1A,160
CASP3,160
IKZF1,160
SERPINB2,159
ADA,159
DNAH8,158
ASCC1,158
ARHGEF7,157
ATM,156
VWF,156
NOTCH3,156
HSPB3,156
HSPB1,156
MSC,155
HPGDS,155
TNFSF4,155
CX3CL1,155
SLC25A37,155
SOD1,155
HSPB2,155
MOK,154
ABCA1,154
ACKR1,154
MEPE,152
JAK2,151
MMP2,151
IL6ST,151
F7,151
CYP2D6,151
GCLC,151
LRPPRC,151
BAX,151
EPHX1,151
FOXO3,150
CCL22,150
THBS1,150
MICE,150
LINC00914,150
XRCC1,150
PGF,150
GCLM,150
IL33,150
CCR3,150
S100A1,150
S100B,150
IGF2R,150
APEX1,150
LPA,150
SLC52A1,150
ADORA3,150
MMP12,150
F2RL1,150
CASP14,150
REN,148
CNR1,147
F13A1,146
BRAF,146
MYD88,146
DCLRE1C,144
RAG1,144
LIG4,144
TEK,142
BDKRB2,142
CTSB,141
CYP3A4,140
CFH,140
SELL,139
PLA2G2A,139
ANGPT2,139
A2M,139
SELE,138
GPX1,138
CYP1A2,138
ITGB3,137
APCS,137
THPO,137
LIPC,137
NQO1,137
CSF3,137
POMC,137
NOS1,137
IFNA2,136
HSPA1A,135
CYP3A5,135
HSPA1B,135
KLK1,135
EPO,134
PTPN11,133
IL2,133
IL11,133
APOC1,132
SERPING1,132
ESR2,132
MTTP,132
IL22,132
ATP6V0A1,132
AGTR2,132
RPSA,132
MMP3,131
AGTR1,131
GHRL,130
PDGFA,130
MET,130
SDC1,129
SOS1,129
CYP2E1,128
HTR2A,128
LMNA,128
TLR3,128
APOA5,128
PON1,128
LPL,128
HFE,127
NAMPT,127
IL13,127
ITGB2,127
IL12A,127
COMT,127
IL17D,127
TNFRSF13C,126
FCGR2A,126
BTK,126
NFKB2,126
TNFRSF13B,126
CYP2C8,126
ADRB3,125
CCND1,125
TIMP2,125
AKT1,124
BSCL2,124
AGPAT2,124
BDKRB1,124
LEPR,124
ERAP1,123
UBAC2,123
KLRC4,123
C4A,123
LCP1,123
IL23R,123
MTAP,123
CDC73,123
IL12A-AS1,123
STAT4,123
MST1,122
MMAB,122
GLA,122
CD36,122
IL2RG,121
IL7R,121
CHD7,121
RMRP,121
RBM45,120
THBD,120
MTR,120
GP1BA,120
TFPI,119
F3,119
NRP1,119
PIK3CA,119
EDNRB,119
HSPA4,118
PIK3CB,118
G6PD,118
P2RY2,118
ABO,118
CXCL2,118
PIK3CD,118
HPSE,117
PRKCD,117
DPP4,117
ITGA3,117
F8,117
CDKN2A,117
ITGA2,117
NIPBL,116
CFTR,116
MPL,116
NFKBIL1,115
GBA,115
PLA2G6,115
CCL4,115
ACTG2,115
TXN2,114
GSN,114
CCNA2,114
PPARGC1A,114
MAPK1,114
HRG,113
CAST,113
SIRT3,113
GSK3B,113
UBAC1,113
RETN,113
NTN1,113
BPI,113
LBP,113
MIR21,113
MIR122,113
PTX3,113
YWHAZ,113
UCP2,113
ITGB1,113
MTOR,113
