Gene,Mean Difference in -log(BH)
A2M,-0.5066220188193781
A2ML1,-0.2616585861011098
A4GALT,-0.7241589630474792
AAA1,-0.2585546164033702
AAAS,-0.2686230295282266
AAK1,-0.2585546164033702
AARS,-0.7226370087215657
AARS2,-0.7241589630474792
AAVS1,-0.2616585861011098
ABCA1,-0.4481652696718945
ABCA12,-0.2585546164033702
ABCA3,-0.024538863437767216
ABCA4,-0.7241589630474792
ABCB1,-0.5197999549137914
ABCB11,-0.600880662648489
ABCB4,-0.36313231494699516
ABCB6,-0.11378164600453868
ABCC1,-0.5882973688399827
ABCC11,-0.2585546164033702
ABCC2,-0.600880662648489
ABCC3,-0.600880662648489
ABCC4,-0.600880662648489
ABCC5,-0.600880662648489
ABCC6,-0.7226370087215657
ABCC7,-0.35322613379276624
ABCC8,-0.33335254387051133
ABCC9,-0.6392099142205949
ABCD1,-0.600880662648489
ABCD4,-0.21132595518782496
ABCF1,-0.10845901757095847
ABCG1,-0.642991342103656
ABCG2,-0.5551471648410594
ABCG5,-0.6434167025021932
ABCG8,-0.6434167025021932
ABHD12,-0.600880662648489
ABI3BP,-0.7241589630474792
ABL1,-0.21132595518782496
ABO,-0.49048728510140654
ABRAXAS2,-0.7241589630474792
ACACA,-0.3034492896799361
ACACB,-0.3034492896799361
ACAD9,-0.23342320778390124
ACADM,-0.2616585861011098
ACADSB,-0.3034492896799361
ACAT1,-0.27495843933134617
ACAT2,-0.3034492896799361
ACD,-0.21132595518782496
ACE,-0.33699030378442846
ACE1,-0.7186984253567977
ACE2,-0.3889281637920561
ACHE,-0.5619569714511238
ACKR1,-0.4089951688002213
ACKR3,-0.024538863437767216
ACO1,-0.729375423268933
ACO2,-0.600880662648489
ACOD1,-0.2585546164033702
ACOT7,-0.7051228396644484
ACOT8,-0.2585546164033702
ACOXL,-0.7241589630474792
ACP5,-0.07073352053724387
ACSF2,0.0563220956567818
ACSL3,-0.3034492896799361
ACSL4,-0.83370462769801
ACSL5,-0.3034492896799361
ACSM3,-0.3034492896799361
ACSS1,-0.7241589630474792
ACT,-0.3493667313237558
ACTA1,-0.3976695832296136
ACTA2,-0.7241589630474792
ACTBL2,-0.7051228396644484
ACTG1,-0.7038669098208826
ACTG1P14,-0.7241589630474792
ACTG2,-0.5769771755982259
ACTL8,-0.600880662648489
ACTN1,-0.21132595518782496
ACTN4,-0.3368343796227025
ACTR3B,-0.7241589630474792
ACVR1B,-0.7241589630474792
AD14,-0.024538863437767216
ADA,-0.33750413994132766
ADA2,-0.600880662648489
ADAM10,-0.12413585086559624
ADAM11,-0.7241589630474792
ADAM17,-0.37258327773635663
ADAM24P,-0.7241589630474792
ADAM8,-0.3976695832296136
ADAMTS1,-0.46997999446806554
ADAMTS10,-0.044869343523860294
ADAMTS13,-0.4955330937051489
ADAMTS18,-0.35322613379276624
ADAMTS2,-0.2616585861011098
ADAMTS6,-0.7241589630474792
ADAMTS7,-0.6434167025021932
ADAMTS9-AS2,-0.7241589630474792
ADAMTSL1,-0.7241589630474792
ADAMTSL3,-0.7241589630474792
ADAR,-0.2585546164033702
ADCY8,-0.7241589630474792
ADD1,-0.7241589630474792
ADGRB2,-0.6313298223058947
ADGRB3,-0.7241589630474792
ADGRL3,-0.7241589630474792
ADGRL4,-0.7241589630474792
ADH1B,-0.638227462076644
ADH1C,-0.6385590793733147
ADH4,-0.35322613379276624
ADH5,-0.7241589630474792
ADIPOQ,-0.5129053709562232
ADIPOR1,-0.7241589630474792
ADIPOR2,-0.7186984253567977
ADM,-0.46697405868804237
ADORA1,-0.7186984253567977
ADORA2A,-0.2226536438987173
ADORA2B,-0.09951478429082447
ADORA3,-0.3976695832296136
ADRA1D,-0.5881860122576066
ADRA2A,-0.2585546164033702
ADRA2B,-0.7241589630474792
ADRB1,-0.6434167025021932
ADRB2,-0.35688256597373685
ADRB3,-0.533252610750681
ADRBK1,-0.7241589630474792
AFAP1L2,-0.7241589630474792
AFF4,-0.024538863437767216
AFG3L2,-0.600880662648489
AFP,-0.600880662648489
AGER,-0.3794648347727805
AGGF1,-0.2616585861011098
AGK,-0.21132595518782496
AGL,-0.3883344391235842
AGMO,-0.7241589630474792
AGPAT2,-0.5869077533983226
AGPAT9,-0.7241589630474792
AGR2,-0.35322613379276624
AGT,-0.3362673450605354
AGTR1,-0.5630197185253
AGTR2,-0.5472011809774874
AGXT,-0.7226370087215657
AHCYP3,-0.7241589630474792
AHDC1,-0.7241589630474792
AHR,-0.3883344391235842
AHSA1,-0.09951478429082447
AHSG,-0.7241589630474792
AICDA,-0.2275574013320193
AIFM1,-0.600880662648489
AIG1,-0.7241589630474792
AIMP1,-0.7241589630474792
AIMP2,-0.09951478429082447
AIP,-0.638822750063301
AIRE,-0.7226370087215657
AK1,-0.5371086619136953
AK2,-0.5138668418589347
AKAP10,-0.7241589630474792
AKAP13,-0.7241589630474792
AKAP8P1,-0.7241589630474792
AKR1A1,-0.6378879457182062
AKR1B1,-0.08982375119123312
AKR1C4,-0.7241589630474792
AKT1,-0.6489423760233829
AKT1S1,-0.7186984253567977
AKT2,-0.08408153870294933
ALAD,-0.7226370087215657
ALAS1,-0.2585546164033702
ALB,-0.4724298396690107
ALCAM,-0.7241589630474792
ALDH18A1,-0.600880662648489
ALDH1A1,-0.600880662648489
ALDH2,-0.638227462076644
ALDH7A1,-0.024538863437767216
ALG1,-0.2616585861011098
ALG8,-0.2616585861011098
ALMS1,-0.3870767691618983
ALOX12,-0.3738240243934877
ALOX12B,-0.2585546164033702
ALOX15,-0.383608718080818
ALOX5,-0.35556494734001176
ALOX5AP,-0.7238672434395488
ALOXE3,-0.2585546164033702
ALS2,-0.7173284513718173
ALX4,-0.7241589630474792
AMACR,-0.600880662648489
AMH,-0.35457881939355934
AMIGO2,-0.7241589630474792
AMMECR1,-0.83370462769801
AMN,-0.3758936401417611
AMPD1,-0.5881860122576066
AMPD2,-0.2585546164033702
AMT,-0.4400498267555995
AMY2A,-0.35322613379276624
ANG,-0.3447184995725128
ANGPT1,-0.347185568847667
ANGPT2,-0.49944850490091763
ANGPTL1,-0.6313298223058947
ANGPTL3,-0.3034492896799361
ANGPTL4,-0.642991342103656
ANIB1,-0.35322613379276624
ANK2,-0.7241589630474792
ANKH,-0.2616585861011098
ANKRD11,-0.21132595518782496
ANKRD18EP,-0.7241589630474792
ANKRD26,-0.21132595518782496
ANKRD55,-0.2616585861011098
ANKRD6,-0.7241589630474792
ANKS1B,-0.7241589630474792
ANLN,-0.83370462769801
ANO10,-0.600880662648489
ANP32B,-0.7241589630474792
ANP32BP3,-0.7241589630474792
ANTXR1,-0.6392099142205949
ANXA1,-0.197257158311209
ANXA2,-0.35322613379276624
ANXA5,-0.3976695832296136
AOAH,-0.2585546164033702
AOC2,-0.024538863437767216
AOC3,-0.024538863437767216
AP1M1,-0.7241589630474792
AP1S1,-0.600880662648489
AP1S3,-0.7241589630474792
AP2S1,-0.35322613379276624
AP3B1,-0.21132595518782496
AP3D1,-0.7241589630474792
AP5Z1,-0.600880662648489
APC,-0.36102219012888104
APCS,-0.5470251576360288
APELA,-0.2585546164033702
APEX1,-0.3976695832296136
APOA1,-0.37183230786818133
APOA2,-0.6434167025021932
APOA4,-0.6434167025021932
APOA5,-0.5885338271115077
APOB,-0.550638301907292
APOBEC1,-0.37175773397701084
APOC1,-0.5472011809774874
APOC2,-0.33123171430105064
APOC3,-0.6434167025021932
APOD,-0.7241589630474792
APOE,-0.37422423643257013
APOER2,-0.7241589630474792
APOF,-0.3034492896799361
APOH,-0.6106468807837757
APOL1,-0.7241589630474792
APOM,-0.7241589630474792
APOPT1,-0.83370462769801
APP,-0.5046956686579691
APRT,-0.15096227084569436
APTX,-0.600880662648489
AQP1,-0.20835983165501323
AQP4,-0.26289058690841194
AQP5,-0.20835983165501323
AR,-0.35880962992047283
ARC,-0.3587056410907601
ARCN1,-0.024538863437767216
ARG1,-0.7241589630474792
ARG2,-0.2585546164033702
ARHGAP31,-0.21132595518782496
ARHGAP42,-0.7241589630474792
ARHGDIA,-0.3656669573005462
ARHGEF2,-0.3976695832296136
ARHGEF26,-0.7241589630474792
ARHGEF28,-0.7241589630474792
ARHGEF5,-0.024538863437767216
ARHGEF7,-0.37487760392615344
ARID1B,-0.11378164600453868
ARL15,-0.7241589630474792
ARL2BPP6,-0.7241589630474792
ARL2BPP7,-0.7241589630474792
ARL2BPP8,-0.7241589630474792
ARL6IP1,-0.600880662648489
ARMS2,-0.7241589630474792
ARNT2,-0.7241589630474792
ARNTL,-0.7241589630474792
ARPC3P2,-0.7241589630474792
ARRB2,-0.7511245830492573
ARSA,-0.642991342103656
ARTN,-0.6262549623629937
ARVCF,-0.6095586026516038
AS3MT,-0.3034492896799361
ASAH1,-0.2616585861011098
ASB17,-0.7241589630474792
ASCC1,-0.376060866013705
ASGR1,-0.21132595518782496
ASL,-0.49373617470291886
