,Count
CTLA4,191
AMH,183
MTHFR,180
IKZF1,160
SLC25A37,155
MEPE,152
S100A8,150
SERPINA1,150
LEP,150
MSC,150
LINC00914,150
CASP14,150
SOS1,129
IL12A,127
HLA-DRB1,127
BSCL2,124
AGPAT2,124
FOS,124
C4A,123
UBAC2,123
CYP3A5,123
KLRC4,123
ERAP1,123
CCR1,123
STAT4,123
IL12A-AS1,123
BRAF,122
PTPN11,121
LTA,116
ACTG2,115
APCS,113
SH2D1A,113
CTNNB1,113
NDUFA2,113
F12,110
WDTC1,109
CYBA,108
KDR,106
PPIAP10,105
CSRP1,105
C18orf8,104
STK4,104
HLA-E,104
CD79B,103
IGHM,103
TUBB1,103
NCF2,103
IGLL1,103
INSIG1,99
INSR,99
CALD1,99
MMAB,99
IRG1,99
DFFB,99
B4GALNT2,99
SERPING1,99
ATP6V0A1,99
MTAP,99
ANTXR1,98
TBL2,98
BAZ1B,98
CLIP2,98
GTF2I,98
LIMK1,98
RAF1,98
RFC2,98
HGD,98
SLC17A5,98
GTF2IRD1,98
MMP1,96
EGFR,96
KMT2D,93
KDM6A,93
GBA,92
F8,92
INS,90
ALMS1,89
FN1,88
LTB,88
GNPTAB,88
KCNN4,85
SLCO6A1,85
GSTK1,85
VKORC1,84
POTEM,82
POTEKP,82
FHL5,82
ACTBL2,82
GCNT2,82
ACT,82
ACOT7,82
ACTG1,82
XRCC3,81
LEPR,81
ABCC6,81
PAK3,80
AKR1C4,80
ALOX12,80
PDCD1,80
PDE4D,80
APOER2,80
APOM,80
P2RY11,80
OX4OL,80
ACKR1,80
NQO1,80
OR13G1,80
AKAP10,80
OR10X1,80
OR10R3P,80
NOS1AP,80
NOL3,80
AGXT,80
ABCG2,80
ADRBK1,80
ADAM11,80
MVCD3,80
MSH3,80
ACE1,80
ACTA1,80
MYB,80
SERPINA2,80
ARMS2,80
GT,80
HAS1,80
HLA-DQA1,80
HLA-DQB1,80
HNRNPA3P1,80
ICH,80
IL17F,80
IL18BP,80
IL1RL1,80
IL33,80
KCNE1,80
KCNMB1,80
KEL,80
KIAA0391,80
KIR2DL1,80
KIR2DL2,80
KIR2DL3,80
KIR2DS1,80
KIR2DS2,80
LGALS3,80
LOX1,80
MCI1,80
MCI2,80
MGEA5,80
MICE,80
MIR144,80
MMP10,80
MRPS6,80
GYPA,80
GP3A,80
ATP5J,80
GP34,80
ATP6,80
BDPLT16,80
BDPLT2,80
BHLHE22,80
C22orf35,80
C4B_2,80
