Gene,Adverse Event Count,Adverse Event,All Adverse Event Counts,Adverse event mean -log(BH) diff,All Adverse events mean -log(BH) diff
CTLA4,0.0,Delirium,191,0.0,-0.362412507872157
CTLA4,0.0,Pancreatitis,191,0.0,-0.362412507872157
CTLA4,0.0,Tardive Dyskinesia,191,0.0,-0.362412507872157
CTLA4,23.0,Thrombocytopenia,191,-0.21132595518782496,-0.362412507872157
CTLA4,0.0,Proteinuria,191,0.0,-0.362412507872157
CTLA4,0.0,Deep Vein Thrombosis,191,0.0,-0.362412507872157
CTLA4,70.0,Pneumonia,191,-0.02453886343776722,-0.362412507872157
CTLA4,0.0,Pulmonary Edema,191,0.0,-0.362412507872157
CTLA4,0.0,Peripheral Neuropathy,191,0.0,-0.362412507872157
CTLA4,80.0,Myocardial Infarction,191,-0.7241589630474792,-0.362412507872157
CTLA4,0.0,Hyperlipidemia,191,0.0,-0.362412507872157
CTLA4,0.0,Hemorrhage,191,0.0,-0.362412507872157
CTLA4,0.0,Gastric ulcer,191,0.0,-0.362412507872157
CTLA4,18.0,Edema,191,-0.2616585861011098,-0.362412507872157
CTLA4,0.0,Cerebral Infarction,191,0.0,-0.362412507872157
CTLA4,0.0,Sepsis,191,0.0,-0.362412507872157
ENTPD1,80.0,Myocardial Infarction,186,-0.7241589630474792,-0.3610289861506587
ENTPD1,0.0,Pancreatitis,186,0.0,-0.3610289861506587
ENTPD1,0.0,Peripheral Neuropathy,186,0.0,-0.3610289861506587
ENTPD1,33.0,Sepsis,186,-0.2585546164033702,-0.3610289861506587
ENTPD1,70.0,Pneumonia,186,-0.024538863437767216,-0.3610289861506587
ENTPD1,3.0,Pulmonary Edema,186,0.34378280057691296,-0.3610289861506587
ENTPD1,0.0,Hemorrhage,186,0.0,-0.3610289861506587
ENTPD1,0.0,Tardive Dyskinesia,186,0.0,-0.3610289861506587
ENTPD1,0.0,Thrombocytopenia,186,0.0,-0.3610289861506587
ENTPD1,0.0,Hyperlipidemia,186,0.0,-0.3610289861506587
ENTPD1,0.0,Proteinuria,186,0.0,-0.3610289861506587
