,Count
TNF,353
IL6,331
APOE,326
VEGFA,297
CCL2,295
CXCL8,293
MTHFR,291
ACE,285
TLR2,280
NOS3,278
IL1RN,272
IL1B,271
IL10,268
CRP,268
AGT,267
IL17A,264
PTGS2,263
SERPINE1,262
IL18,261
BCL2,259
TGFB1,259
LTA,258
SELP,257
DECR1,255
CCL5,255
TLR4,254
F2R,250
PPARG,250
IL1A,250
HLA-DRB1,248
MMP9,247
FOS,244
COX2,243
NFKB1,242
CAV1,242
GSTM1,241
TIMP1,239
HIF1A,236
MBL2,236
HMOX1,235
NOS2,235
MMP3,234
S100A8,233
STAT3,233
LEP,232
PLG,232
FN1,231
CD14,231
MEFV,230
HGF,229
APOA1,229
TP53,229
ALOX5,228
VCAM1,228
PLAT,228
NR1I2,228
GSTT1,226
NDUFA2,226
CASP1,226
MIF,225
NR3C1,221
CTLA4,220
ICAM1,220
PLAU,218
TFPI,218
IFNG,215
MPO,215
NFE2L2,214
CSF2,214
ANGPT1,214
NLRP3,213
CYP1A1,213
INS,213
F3,212
HMGB1,212
TEK,212
SPP1,211
HP,211
CXCR4,211
CXCL12,211
CFH,210
SELL,209
PRH2,209
MMP1,209
CD40,209
PRH1,209
MMP13,209
PTGS1,208
SOD2,207
NAMPT,207
CSF3,207
LCN2,207
TREM1,207
S100A9,207
MTOR,206
FCGR3A,206
ELANE,206
LAMC2,206
CD40LG,206
ADRB2,206
SOCS3,206
COX1,205
TNFRSF1A,204
PLA2G1B,204
MAPK1,203
KNG1,203
C3,202
MYLK,202
CCR2,202
FAS,202
CASP8,201
FGA,201
PIK3CG,200
PIK3CA,200
PIK3CB,199
PIK3CD,199
F5,198
HSPD1,196
ELN,195
FGG,194
CCR1,193
GSTP1,193
ACE2,192
CYBB,192
ASCC1,191
DNAH8,191
ENTPD1,191
SERPINA1,190
ARHGEF7,190
NRP1,189
HSPB3,189
PARP1,189
SIRT1,188
CTSG,188
PLA2G4A,188
CYBA,188
GABPA,188
ALOX15,188
GRIK2,188
IL4,188
HSPA4,188
ROS1,188
AGER,188
VDR,188
MOK,187
ALB,186
HLA-B,185
CXCR2,185
F11,185
PROCR,185
ALOX12,184
BRCA1,184
NM,184
CAT,184
MYDGF,183
UBAC1,183
MAPK3,183
R3HDM2P2,183
S100A1,183
TLR9,183
AMH,183
SELPLG,183
MAPK8,183
IL33,183
CCL11,183
NFKBIA,183
ADAM17,183
KLF2,183
ADAMTS13,183
FCGR3B,183
PDCD1,183
S100B,183
SOD1,181
SARS2,180
BDNF,180
CXCL10,177
F7,174
F2,174
PDZD2,174
FGB,174
XRCC1,173
MS4A1,173
IL2RA,172
F13A1,172
LPA,171
NANOS3,171
BAX,170
AHR,170
OSM,169
IRF6,169
ALMS1,169
TNFRSF1B,169
ID2,169
ADIPOQ,168
LTB,168
RAG2,168
ADM,167
IGF1,167
CYP2C9,166
EDN1,164
ITGAM,163
CBS,162
SDC1,162
CYP2C19,162
SERPINB2,161
SH2D1A,160
CASP3,160
IKZF1,160
VWF,159
CYP2C8,159
IL11,159
ADA,159
GAL,158
HPGDS,158
ATN1,157
ATM,156
HSPB1,156
HSPB2,156
NOTCH3,156
MSC,155
CX3CL1,155
TNFSF4,155
EMP1,155
SLC25A37,155
ACKR1,154
ABCA1,154
KLF4,153
GDF15,152
MEPE,152
FXN,151
JAK2,151
EPHX1,151
MMP2,151
GCLC,151
CYP2D6,151
IL6ST,151
LRPPRC,151
PON1,151
ANXA5,150
ACTA1,150
F2RL1,150
ITGB2,150
FOXO3,150
CCR3,150
HSPA5,150
PLXNC1,150
IGF2R,150
ADAM8,150
PLOD1,150
CD276,150
CASP14,150
THBS1,150
CCL22,150
FBXO15,150
IL9,150
MICE,150
LINC00914,150
ADORA3,150
TRPA1,150
SLC52A1,150
F8,150
NFATC2,150
GCLM,150
TXN,150
MMP12,150
PGF,150
LCT,150
ATG7,150
ZC3H12A,150
APEX1,150
PEBP1,150
REN,149
NQO1,149
CNR1,147
BRAF,146
MYD88,146
NOD2,145
LIG4,144
RAG1,144
DCLRE1C,144
THBD,143
ABO,143
CFTR,142
BDKRB2,142
CTSB,141
HPSE,140
CYP3A4,140
PLA2G2A,139
A2M,139
ANGPT2,139
COMT,138
APOB,138
PLAUR,138
SELE,138
MDM2,138
CYP1A2,138
GPX1,138
MIR150,137
APCS,137
ITGB3,137
NOS1,137
LIPC,137
CASP12,137
MIR155,137
POMC,137
YWHAZ,137
CTGF,137
THPO,137
EPO,136
IFNA2,136
UGT1A1,136
PRKCQ,136
SHH,135
CYP3A5,135
CCR5,135
HSPA1A,135
KLK1,135
HSPA1B,135
ABCB1,134
IL2,133
PTPN11,133
CETP,133
AGTR2,132
RPSA,132
IL22,132
SERPING1,132
MTTP,132
GH1,132
APOC1,132
ESR2,132
VLDLR,132
ATP6V0A1,132
PLB1,132
AGTR1,131
TNFRSF13B,131
GSR,131
PWAR1,130
PDGFA,130
GHRL,130
MET,130
BCL2L1,129
SOS1,129
SLC52A2,129
HTR2A,128
TLR3,128
APOA5,128
MIR210,128
COX8A,128
LMNA,128
LPL,128
LEPR,128
CYP2E1,128
ADORA2A,127
DUSP1,127
IL12A,127
IL17D,127
APRT,127
HFE,127
F9,127
IRF2,127
GPT,127
CD44,127
IL13,127
NFKB2,126
BTK,126
TNFRSF13C,126
FCGR2A,126
FOXP3,126
GTF2IRD1,125
CCND1,125
GTF2I,125
ADRB3,125
TIMP2,125
BSCL2,124
AGPAT2,124
AKT1,124
APC,124
BDKRB1,124
LCP1,123
STAT4,123
IL23R,123
UBAC2,123
IL12A-AS1,123
ERAP1,123
CDC73,123
MTAP,123
C4A,123
KLRC4,123
CP,122
MMAB,122
ACHE,122
GLA,122
SERPINF2,122
MST1,122
CD36,122
RMRP,121
SLC17A5,121
CHD7,121
IL2RG,121
IL7R,121
GP1BA,120
MTR,120
RBM45,120
EDNRB,119
HLA-DPB1,119
TM7SF2,118
TYMS,118
P2RY2,118
CXCL2,118
G6PD,118
IFNA13,118
PAX5,118
IFNA1,118
ITGA3,117
CDKN2A,117
ITGA2,117
PRKCD,117
DPP4,117
GP6,117
NIPBL,116
MPL,116
CEL,116
ACTG2,115
CDKN2B,115
GBA,115
SOAT1,115
CCL4,115
PLA2G6,115
FBN1,115
PC,115
NFKBIL1,115
PPARGC1A,114
TXN2,114
GSN,114
ABCG2,114
CCNA2,114
RMDN2,113
RMDN1,113
NTN1,113
PTX3,113
CD163,113
TFAM,113
RETN,113
KDR,113
RCAN1,113
CAST,113
RPS6KB1,113
ADRA1D,113
SYBU,113
NLRP1,113
BPI,113
BECN1,113
AMPD1,113
PPP1R1A,113
HDAC4,113
TMSB4X,113
MAPKAP1,113
DDAH2,113
DYM,113
LBP,113
SOCS1,113
FASN,113
TTN,113
CDKN1A,113
FCAR,113
ITGB1,113
FCN1,113
FCN2,113
IL4R,113
FOXD3,113
WNT5A,113
IL1RL1,113
SIRT3,113
IL12B,113
GDE1,113
UCP2,113
