Gene,Adverse Event Count,Adverse Event,All Adverse Event Counts,Adverse event mean -log(BH) diff,All Adverse events mean -log(BH) diff
CTLA4,0.0,Pulmonary Edema,191,0.0,-0.362412507872157
CTLA4,70.0,Pneumonia,191,-0.02453886343776722,-0.362412507872157
CTLA4,0.0,Delirium,191,0.0,-0.362412507872157
CTLA4,0.0,Deep Vein Thrombosis,191,0.0,-0.362412507872157
CTLA4,23.0,Thrombocytopenia,191,-0.21132595518782496,-0.362412507872157
CTLA4,0.0,Tardive Dyskinesia,191,0.0,-0.362412507872157
CTLA4,0.0,Sepsis,191,0.0,-0.362412507872157
CTLA4,0.0,Proteinuria,191,0.0,-0.362412507872157
CTLA4,0.0,Peripheral Neuropathy,191,0.0,-0.362412507872157
CTLA4,0.0,Pancreatitis,191,0.0,-0.362412507872157
CTLA4,80.0,Myocardial Infarction,191,-0.7241589630474792,-0.362412507872157
CTLA4,0.0,Hyperlipidemia,191,0.0,-0.362412507872157
CTLA4,0.0,Hemorrhage,191,0.0,-0.362412507872157
CTLA4,0.0,Gastric ulcer,191,0.0,-0.362412507872157
CTLA4,18.0,Edema,191,-0.2616585861011098,-0.362412507872157
CTLA4,0.0,Cerebral Infarction,191,0.0,-0.362412507872157
AMH,0.0,Delirium,183,0.0,-0.37258327773635663
AMH,0.0,Gastric ulcer,183,0.0,-0.37258327773635663
AMH,0.0,Edema,183,0.0,-0.37258327773635663
AMH,70.0,Pneumonia,183,-0.02453886343776722,-0.37258327773635663
AMH,0.0,Deep Vein Thrombosis,183,0.0,-0.37258327773635663
AMH,0.0,Cerebral Infarction,183,0.0,-0.37258327773635663
AMH,0.0,Hyperlipidemia,183,0.0,-0.37258327773635663
AMH,0.0,Hemorrhage,183,0.0,-0.37258327773635663
AMH,0.0,Pulmonary Edema,183,0.0,-0.37258327773635663
AMH,80.0,Myocardial Infarction,183,-0.7241589630474792,-0.37258327773635663
AMH,0.0,Pancreatitis,183,0.0,-0.37258327773635663
AMH,0.0,Peripheral Neuropathy,183,0.0,-0.37258327773635663
AMH,0.0,Proteinuria,183,0.0,-0.37258327773635663
AMH,33.0,Sepsis,183,-0.2585546164033702,-0.37258327773635663
AMH,0.0,Tardive Dyskinesia,183,0.0,-0.37258327773635663
AMH,0.0,Thrombocytopenia,183,0.0,-0.37258327773635663
MTHFR,0.0,Peripheral Neuropathy,180,0.0,-0.20576915949494723
MTHFR,0.0,Pulmonary Edema,180,0.0,-0.20576915949494723
MTHFR,70.0,Pneumonia,180,-0.02453886343776722,-0.20576915949494723
MTHFR,4.0,Proteinuria,180,-0.83370462769801,-0.20576915949494723
MTHFR,12.0,Hemorrhage,180,-0.37506576263153263,-0.20576915949494723
MTHFR,33.0,Sepsis,180,-0.2585546164033702,-0.20576915949494723
MTHFR,0.0,Cerebral Infarction,180,0.0,-0.20576915949494723
MTHFR,0.0,Myocardial Infarction,180,0.0,-0.20576915949494723
MTHFR,24.0,Pancreatitis,180,-0.3532261337927663,-0.20576915949494723
MTHFR,0.0,Thrombocytopenia,180,0.0,-0.20576915949494723
MTHFR,19.0,Hyperlipidemia,180,-0.3034492896799361,-0.20576915949494723
MTHFR,0.0,Gastric ulcer,180,0.0,-0.20576915949494723
MTHFR,18.0,Edema,180,-0.2616585861011098,-0.20576915949494723
MTHFR,0.0,Delirium,180,0.0,-0.20576915949494723
MTHFR,0.0,Deep Vein Thrombosis,180,0.0,-0.20576915949494723
MTHFR,0.0,Tardive Dyskinesia,180,0.0,-0.20576915949494723
IKZF1,24.0,Pancreatitis,160,-0.35322613379276624,-0.4987683972840995
IKZF1,0.0,Cerebral Infarction,160,0.0,-0.4987683972840995
IKZF1,0.0,Deep Vein Thrombosis,160,0.0,-0.4987683972840995
IKZF1,0.0,Delirium,160,0.0,-0.4987683972840995
