,Count
CTLA4,191
ENTPD1,186
ALOX12,183
F11,183
AMH,183
MTHFR,180
S100A8,174
IRF6,169
IKZF1,160
SLC25A37,155
ATN1,154
KLF4,153
MEPE,152
LEP,150
TRPA1,150
MSC,150
PLXNC1,150
R3HDM2P2,150
ID2,150
PLOD1,150
LINC00914,150
LCT,150
ATG7,150
CD276,150
GRIK2,150
ACTA1,150
CASP14,150
PDCD1,150
SERPINA1,150
AGT,145
PRKCQ,136
APOE,129
SOS1,129
IRF2,127
IL12A,127
HLA-DRB1,127
GPT,127
GAL,125
F8,125
FOS,124
AGPAT2,124
BSCL2,124
CYP3A5,123
IL12A-AS1,123
C4A,123
STAT4,123
KLRC4,123
UBAC2,123
ERAP1,123
CCR1,123
BRAF,122
PTPN11,121
GTF2I,121
GTF2IRD1,121
SLC17A5,121
IFNA13,118
IFNA1,118
PAX5,118
LTA,116
ACTG2,115
PC,115
IL2RA,115
MDM2,114
IL33,113
CTNNB1,113
SEMA3C,113
RMDN3,113
CRADD,113
RMDN2,113
RMDN1,113
SH2D1A,113
HLA-DPB1,113
TMSB4X,113
GRIN2A,113
ALB,113
SYBU,113
APCS,113
FCN2,113
FCN1,113
NDUFA2,113
STARD3NL,113
HDAC4,113
MAPKAP1,113
MAPK8,113
TTN,113
DNAH8,111
F12,110
WDTC1,109
CYBA,108
MMP3,108
CXCR4,108
NCF2,107
ALOX15,107
KDR,106
CSRP1,105
PPIAP10,105
MIR30B,104
HLA-E,104
FHIT,104
PDLIM5,104
C18orf8,104
PITX2,104
FBN1,104
GALC,104
MGMT,104
ARVCF,104
TUBB1,104
MIR155,104
STK4,104
BCL10,103
LAMC2,103
IGLL1,103
HSPB3,103
TNPO1,103
ADORA2A,103
PIGA,103
ROS1,103
TRBV20OR9-2,103
SELPLG,103
TLR6,103
RNU6-392P,103
NCAM1,103
ABCG2,103
CLOCK,103
CLEC7A,103
SOCS3,103
IGHM,103
LARP1BP2,103
CD79B,103
ANGPTL4,100
SERPING1,99
STXBP2,99
DFFB,99
CALD1,99
INSIG1,99
B4GALNT2,99
TFPI,99
MTAP,99
ATP6V0A1,99
MYLK,99
INSR,99
IRG1,99
HSP90AB2P,99
MMAB,99
NR2E3,98
FLNB,98
RFC2,98
PRKD1,98
LIMK1,98
BAZ1B,98
ANTXR1,98
CLIP2,98
TBL2,98
RAF1,98
LZTR1,98
HGD,98
EGFR,96
MMP1,96
ATP12A,96
ATP4A,96
PRH1,94
MIR29C,94
TYMS,93
XRCC1,93
F3,93
KMT2D,93
KDM6A,93
CXCL10,93
IRF3,93
BLOC1S6,93
MTOR,93
GBA,92
SOX17,92
NQO1,92
LIF,92
SNCA,91
TH,91
INS,90
F13A1,90
ALMS1,89
AKT2,89
MAPK1,89
PRH2,89
FN1,88
NOS2,88
GNPTAB,88
NOD2,88
LTB,88
RNF146,85
UCP3,85
SOAT1,85
PGR-AS1,85
ADIPOR2,85
SLCO6A1,85
MBP,85
XBP1,85
SGK1,85
GSTK1,85
KCNN4,85
POU5F1,85
LEPR,85
VKORC1,84
EGLN1,83
FHL5,82
HAMP,82
SERPINA10,82
PIK3CA,82
POTEKP,82
ACTBL2,82
ACOT7,82
GCNT2,82
ACT,82
ACTG1,82
POTEM,82
PTPRN2,81
RAPH1,81
ELOVL5,81
MERTK,81
ATL1,81
BMPR1B,81
CDCA2,81
MN1,81
BAG3,81
ABCC6,81
AHR,81
ZNF385B,81
LRP5,81
LIFR,81
GBE1,81
SULT2B1,81
PIK3CB,81
PIK3CD,81
XRCC3,81
GJB2,81
GJB6,81
WNT11,81
IKBKAP,81
IFNGR2,81
SUSD4,81
