Gene,Mean Difference in -log(BH)
A2M,-0.25965013512021945
A2ML1,-0.2616585861011098
A4GALT,-0.7241589630474792
AAA1,-0.2585546164033702
AAAS,-0.2686230295282266
AARS2,-0.7241589630474792
AAVS1,-0.2616585861011098
ABCA1,-0.19475635826151222
ABCA12,-0.2585546164033702
ABCB1,-0.1701411545923122
ABCB11,-0.600880662648489
ABCB6,-0.11378164600453868
ABCC1,-0.7241589630474792
ABCC2,-0.600880662648489
ABCC3,-0.600880662648489
ABCC4,-0.600880662648489
ABCC5,-0.600880662648489
ABCC6,-0.7226370087215657
ABCC7,-0.35322613379276624
ABCC8,-0.3656669573005462
ABCC9,-0.2616585861011098
ABCG1,-0.3034492896799361
ABCG2,-0.6096428544962943
ABCG5,-0.7241589630474792
ABCG8,-0.7241589630474792
ABI3BP,-0.7241589630474792
ABO,-0.24996329539418385
ABRAXAS2,-0.7241589630474792
ACACA,-0.3034492896799361
ACACB,-0.3034492896799361
ACAD9,-0.2616585861011098
ACADM,-0.2616585861011098
ACAT1,-0.2585546164033702
ACAT2,-0.3034492896799361
ACE,-0.5829508098741368
ACE1,-0.7241589630474792
ACHE,-0.2530007969818752
ACKR1,-0.7241589630474792
ACKR3,-0.024538863437767216
ACO1,-0.7241589630474792
ACO2,-0.600880662648489
ACOD1,-0.2585546164033702
ACOT7,-0.7051228396644484
ACOT8,-0.2585546164033702
ACOXL,-0.7241589630474792
ACP5,-0.21132595518782496
ACSF2,0.0563220956567818
ACSM3,-0.3034492896799361
ACSS1,-0.7241589630474792
ACT,-0.369198797296173
ACTA1,-0.3976695832296136
ACTBL2,-0.7051228396644484
ACTG1,-0.7051228396644484
ACTG1P14,-0.7241589630474792
ACTG2,-0.5769771755982259
ACTL8,-0.600880662648489
ACTR3B,-0.7241589630474792
ACVR1B,-0.7241589630474792
ADA,-0.34711201493255894
ADAM10,-0.024538863437767216
ADAM11,-0.7241589630474792
ADAM24P,-0.7241589630474792
ADAM8,-0.024538863437767216
ADAMTS2,-0.2616585861011098
ADAMTS6,-0.7241589630474792
ADAMTS9-AS2,-0.7241589630474792
ADAMTSL1,-0.7241589630474792
ADAMTSL3,-0.7241589630474792
ADAR,-0.2585546164033702
ADCY8,-0.7241589630474792
ADGRB2,-0.6313298223058947
ADGRB3,-0.7241589630474792
ADGRL3,-0.7241589630474792
ADGRL4,-0.7241589630474792
ADH5,-0.7241589630474792
ADIPOQ,-0.2663063525101144
ADIPOR1,-0.7241589630474792
ADIPOR2,-0.7186984253567977
ADORA2A,-0.09951478429082447
ADORA2B,-0.2585546164033702
ADRA1D,-0.2585546164033702
ADRA2A,-0.2585546164033702
ADRB1,-0.3034492896799361
ADRB2,-0.600880662648489
ADRBK1,-0.7241589630474792
AFAP1L2,-0.7241589630474792
AFF4,-0.024538863437767216
AFG3L2,-0.600880662648489
AGER,-0.6313298223058947
AGGF1,-0.2616585861011098
AGK,-0.21132595518782496
AGMO,-0.7241589630474792
AGPAT2,-0.5869077533983226
AGPAT9,-0.7241589630474792
AGT,-0.12338820566023041
AGTR1,-0.22217615382605857
AGTR2,-0.3034492896799361
AGXT,-0.7241589630474792
AHDC1,-0.7241589630474792
AHR,-0.7226370087215657
AHSA1,-0.024538863437767216
AICDA,-0.2275574013320193
